Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1727620626,2024-09-29T14:37:06Z,AXM1726,"1.338043,103.98526",0,15,19
1727620633,2024-09-29T14:37:13Z,AXM1726,"1.33847,103.985428",0,15,22
1727620639,2024-09-29T14:37:19Z,AXM1726,"1.338854,103.985596",0,15,22
1727620657,2024-09-29T14:37:37Z,AXM1726,"1.339901,103.986031",0,14,22
1727620710,2024-09-29T14:38:30Z,AXM1726,"1.340995,103.988121",0,10,25
1727620716,2024-09-29T14:38:36Z,AXM1726,"1.341275,103.988297",0,12,33
1727620730,2024-09-29T14:38:50Z,AXM1726,"1.342183,103.988625",0,16,22
1727620737,2024-09-29T14:38:57Z,AXM1726,"1.342724,103.988869",0,19,22
1727620758,2024-09-29T14:39:18Z,AXM1726,"1.344685,103.989693",0,0,22
1727620840,2024-09-29T14:40:40Z,AXM1726,"1.35261,103.993057",0,0,22
1727620847,2024-09-29T14:40:47Z,AXM1726,"1.35331,103.993355",0,0,22
1727620866,2024-09-29T14:41:06Z,AXM1726,"1.355182,103.994141",0,0,22
1727621255,2024-09-29T14:47:35Z,AXM1726,"1.354519,103.995804",0,0,202
1727621275,2024-09-29T14:47:55Z,AXM1726,"1.342941,103.990906",250,156,202
1727621284,2024-09-29T14:48:04Z,AXM1726,"1.336349,103.98806",525,156,203
1727621293,2024-09-29T14:48:13Z,AXM1726,"1.330091,103.985359",875,157,203
1727621302,2024-09-29T14:48:22Z,AXM1726,"1.324036,103.982758",1200,156,202
1727621312,2024-09-29T14:48:32Z,AXM1726,"1.317673,103.980057",1525,157,202
1727621321,2024-09-29T14:48:41Z,AXM1726,"1.311539,103.977493",1800,160,202
1727621327,2024-09-29T14:48:47Z,AXM1726,"1.307233,103.9757",1900,168,202
1727621336,2024-09-29T14:48:56Z,AXM1726,"1.300095,103.972748",2075,181,202
1727621345,2024-09-29T14:49:05Z,AXM1726,"1.292942,103.969734",2250,192,202
1727621355,2024-09-29T14:49:15Z,AXM1726,"1.284668,103.966278",2325,211,202
1727621364,2024-09-29T14:49:24Z,AXM1726,"1.275857,103.962868",2500,226,198
1727621367,2024-09-29T14:49:27Z,AXM1726,"1.272903,103.962227",2575,231,191
1727621369,2024-09-29T14:49:29Z,AXM1726,"1.269805,103.961823",2650,235,185
1727621373,2024-09-29T14:49:33Z,AXM1726,"1.266312,103.961807",2750,238,179
1727621376,2024-09-29T14:49:36Z,AXM1726,"1.263055,103.962158",2875,241,173
1727621379,2024-09-29T14:49:39Z,AXM1726,"1.259285,103.963005",3000,246,166
1727621382,2024-09-29T14:49:42Z,AXM1726,"1.256058,103.964088",3125,246,160
1727621385,2024-09-29T14:49:45Z,AXM1726,"1.252721,103.965614",3275,248,154
1727621388,2024-09-29T14:49:48Z,AXM1726,"1.249878,103.967392",3425,248,148
1727621390,2024-09-29T14:49:50Z,AXM1726,"1.247635,103.96907",3575,248,142
1727621394,2024-09-29T14:49:54Z,AXM1726,"1.244705,103.971725",3750,249,134
1727621397,2024-09-29T14:49:57Z,AXM1726,"1.242247,103.974609",3925,250,128
1727621400,2024-09-29T14:50:00Z,AXM1726,"1.240265,103.977493",4100,251,124
1727621403,2024-09-29T14:50:03Z,AXM1726,"1.238569,103.98053",4275,250,116
1727621406,2024-09-29T14:50:06Z,AXM1726,"1.237152,103.983917",4425,251,110
1727621409,2024-09-29T14:50:09Z,AXM1726,"1.236148,103.987015",4550,254,105
1727621412,2024-09-29T14:50:12Z,AXM1726,"1.235275,103.990952",4700,257,100
1727621416,2024-09-29T14:50:16Z,AXM1726,"1.234891,103.99469",4800,261,95
1727621419,2024-09-29T14:50:19Z,AXM1726,"1.234845,103.998428",4875,266,89
1727621421,2024-09-29T14:50:21Z,AXM1726,"1.235124,104.001648",4975,268,84
1727621424,2024-09-29T14:50:24Z,AXM1726,"1.235779,104.005424",5075,270,78
1727621428,2024-09-29T14:50:28Z,AXM1726,"1.236986,104.00946",5200,273,72
1727621430,2024-09-29T14:50:30Z,AXM1726,"1.238205,104.012505",5325,276,67
1727621433,2024-09-29T14:50:33Z,AXM1726,"1.240012,104.016045",5450,276,61
1727621437,2024-09-29T14:50:37Z,AXM1726,"1.242371,104.019768",5575,278,56
1727621440,2024-09-29T14:50:40Z,AXM1726,"1.24476,104.02282",5675,280,51
1727621443,2024-09-29T14:50:43Z,AXM1726,"1.247406,104.025681",5775,280,46
1727621446,2024-09-29T14:50:46Z,AXM1726,"1.250244,104.028236",5850,279,41
1727621449,2024-09-29T14:50:49Z,AXM1726,"1.253357,104.030563",5900,278,36
1727621452,2024-09-29T14:50:52Z,AXM1726,"1.256836,104.032753",5975,278,31
1727621455,2024-09-29T14:50:55Z,AXM1726,"1.260178,104.034477",6025,278,26
1727621458,2024-09-29T14:50:58Z,AXM1726,"1.263661,104.035889",6075,280,21
1727621461,2024-09-29T14:51:01Z,AXM1726,"1.267431,104.037025",6125,279,16
1727621464,2024-09-29T14:51:04Z,AXM1726,"1.271295,104.037827",6200,280,11
1727621467,2024-09-29T14:51:07Z,AXM1726,"1.275009,104.038246",6225,281,5
1727621470,2024-09-29T14:51:10Z,AXM1726,"1.279358,104.038292",6300,282,358
1727621473,2024-09-29T14:51:13Z,AXM1726,"1.283352,104.038063",6350,281,355
