Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1727600647,2024-09-29T09:04:07Z,CCA826,"1.363506,103.991051",0,3,8
1727601030,2024-09-29T09:10:30Z,CCA826,"1.365668,103.993187",0,0,53
1727601046,2024-09-29T09:10:46Z,CCA826,"1.365982,103.99366",0,6,59
1727601056,2024-09-29T09:10:56Z,CCA826,"1.365901,103.993927",0,6,92
1727601066,2024-09-29T09:11:06Z,CCA826,"1.365761,103.994186",0,7,109
1727601073,2024-09-29T09:11:13Z,CCA826,"1.365669,103.994415",0,8,112
1727601082,2024-09-29T09:11:22Z,CCA826,"1.365528,103.99472",0,9,112
1727601091,2024-09-29T09:11:31Z,CCA826,"1.365383,103.995102",0,10,112
1727601100,2024-09-29T09:11:40Z,CCA826,"1.365189,103.995537",0,12,112
1727601181,2024-09-29T09:13:01Z,CCA826,"1.363806,103.998657",0,0,120
1727601186,2024-09-29T09:13:06Z,CCA826,"1.363585,103.998772",0,12,140
1727601200,2024-09-29T09:13:20Z,CCA826,"1.362887,103.998856",0,11,171
1727601212,2024-09-29T09:13:32Z,CCA826,"1.362213,103.998932",0,12,174
1727601227,2024-09-29T09:13:47Z,CCA826,"1.361526,103.998817",0,0,199
1727601232,2024-09-29T09:13:52Z,CCA826,"1.361309,103.998711",0,11,202
1727601245,2024-09-29T09:14:05Z,CCA826,"1.360396,103.998314",0,0,202
1727601252,2024-09-29T09:14:12Z,CCA826,"1.358941,103.997704",0,0,202
1727601264,2024-09-29T09:14:24Z,CCA826,"1.35467,103.995918",175,105,202
1727601279,2024-09-29T09:14:39Z,CCA826,"1.34522,103.991898",150,138,203
1727601289,2024-09-29T09:14:49Z,CCA826,"1.338638,103.989044",500,164,203
1727601298,2024-09-29T09:14:58Z,CCA826,"1.332321,103.986343",900,160,203
1727601306,2024-09-29T09:15:06Z,CCA826,"1.326462,103.983826",1275,160,202
1727601316,2024-09-29T09:15:16Z,CCA826,"1.320145,103.981171",1625,162,203
1727601325,2024-09-29T09:15:25Z,CCA826,"1.313828,103.978615",1925,162,201
1727601334,2024-09-29T09:15:34Z,CCA826,"1.30742,103.975983",2275,162,202
1727601343,2024-09-29T09:15:43Z,CCA826,"1.301088,103.973328",2675,160,202
1727601352,2024-09-29T09:15:52Z,CCA826,"1.29499,103.970772",3050,160,203
1727601361,2024-09-29T09:16:01Z,CCA826,"1.288566,103.968071",3425,164,202
1727601370,2024-09-29T09:16:10Z,CCA826,"1.282002,103.965279",3575,179,202
1727601376,2024-09-29T09:16:16Z,CCA826,"1.277161,103.963242",3650,192,203
1727601385,2024-09-29T09:16:25Z,CCA826,"1.269424,103.9599",3775,209,203
1727601394,2024-09-29T09:16:34Z,CCA826,"1.260914,103.956238",3925,225,203
1727601403,2024-09-29T09:16:43Z,CCA826,"1.252209,103.952545",4125,240,202
1727601409,2024-09-29T09:16:49Z,CCA826,"1.245272,103.950172",4250,251,194
1727601412,2024-09-29T09:16:52Z,CCA826,"1.241967,103.949417",4300,255,191
