Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1727608958,2024-09-29T11:22:38Z,MAS608,"1.339828,103.989601",425,159,203
1727608967,2024-09-29T11:22:47Z,MAS608,"1.333786,103.987038",750,161,203
1727608977,2024-09-29T11:22:57Z,MAS608,"1.327251,103.984177",1075,164,203
1727608986,2024-09-29T11:23:06Z,MAS608,"1.320877,103.981453",1375,166,203
1727608995,2024-09-29T11:23:15Z,MAS608,"1.314331,103.978706",1525,176,203
1727609001,2024-09-29T11:23:21Z,MAS608,"1.309296,103.976517",1625,185,203
1727609010,2024-09-29T11:23:30Z,MAS608,"1.301651,103.973259",1825,197,203
1727609019,2024-09-29T11:23:39Z,MAS608,"1.293687,103.969872",1950,212,203
1727609028,2024-09-29T11:23:48Z,MAS608,"1.285583,103.966415",2125,223,203
1727609037,2024-09-29T11:23:57Z,MAS608,"1.276016,103.96241",2350,235,202
1727609046,2024-09-29T11:24:06Z,MAS608,"1.26678,103.958511",2700,239,202
1727609055,2024-09-29T11:24:15Z,MAS608,"1.257655,103.95472",3050,242,202
1727609064,2024-09-29T11:24:24Z,MAS608,"1.247833,103.951027",3250,246,198
1727609068,2024-09-29T11:24:28Z,MAS608,"1.244064,103.950127",3325,246,193
1727609070,2024-09-29T11:24:30Z,MAS608,"1.241083,103.949799",3350,246,188
1727609073,2024-09-29T11:24:33Z,MAS608,"1.237656,103.949654",3425,246,182
1727609077,2024-09-29T11:24:37Z,MAS608,"1.233948,103.94989",3475,246,177
1727609080,2024-09-29T11:24:40Z,MAS608,"1.230331,103.950447",3525,246,171
1727609083,2024-09-29T11:24:43Z,MAS608,"1.227219,103.951241",3550,246,166
1727609085,2024-09-29T11:24:45Z,MAS608,"1.224197,103.952309",3600,246,161
1727609088,2024-09-29T11:24:48Z,MAS608,"1.22081,103.953804",3650,247,156
1727609092,2024-09-29T11:24:52Z,MAS608,"1.217807,103.955475",3725,248,150
1727609095,2024-09-29T11:24:55Z,MAS608,"1.214951,103.957428",3775,248,145
1727609097,2024-09-29T11:24:57Z,MAS608,"1.212267,103.959595",3825,249,141
1727609101,2024-09-29T11:25:01Z,MAS608,"1.20952,103.962105",3875,249,138
1727609104,2024-09-29T11:25:04Z,MAS608,"1.206985,103.964462",3900,249,136
1727609107,2024-09-29T11:25:07Z,MAS608,"1.204446,103.966843",3950,249,137
1727609110,2024-09-29T11:25:10Z,MAS608,"1.201653,103.969307",4000,250,137
1727609113,2024-09-29T11:25:13Z,MAS608,"1.199232,103.971481",4075,249,138
1727609116,2024-09-29T11:25:16Z,MAS608,"1.19664,103.97377",4125,250,138
1727609119,2024-09-29T11:25:19Z,MAS608,"1.194018,103.976074",4200,250,138
1727609122,2024-09-29T11:25:22Z,MAS608,"1.191179,103.978493",4275,250,138
1727609125,2024-09-29T11:25:25Z,MAS608,"1.188711,103.980667",4325,250,138
1727609134,2024-09-29T11:25:34Z,MAS608,"1.180518,103.987679",4475,253,139
1727609143,2024-09-29T11:25:43Z,MAS608,"1.172562,103.994949",4675,260,136
1727609146,2024-09-29T11:25:46Z,MAS608,"1.169998,103.997887",4775,261,132
1727609149,2024-09-29T11:25:49Z,MAS608,"1.167856,104.000847",4850,264,127
1727609152,2024-09-29T11:25:52Z,MAS608,"1.166016,104.004028",4925,266,119
1727609155,2024-09-29T11:25:55Z,MAS608,"1.164504,104.007423",5025,268,114
1727609158,2024-09-29T11:25:58Z,MAS608,"1.163269,104.010918",5100,269,109
1727609161,2024-09-29T11:26:01Z,MAS608,"1.162445,104.01432",5175,272,104
1727609164,2024-09-29T11:26:04Z,MAS608,"1.161758,104.018555",5225,273,99
1727609167,2024-09-29T11:26:07Z,MAS608,"1.161484,104.022324",5300,274,93
1727609170,2024-09-29T11:26:10Z,MAS608,"1.161621,104.025864",5350,275,88
1727609173,2024-09-29T11:26:13Z,MAS608,"1.162084,104.029633",5400,275,83
1727609176,2024-09-29T11:26:16Z,MAS608,"1.162857,104.033356",5450,276,78
1727609179,2024-09-29T11:26:19Z,MAS608,"1.163956,104.036713",5500,275,74
1727609182,2024-09-29T11:26:22Z,MAS608,"1.165575,104.040718",5550,276,67
1727609185,2024-09-29T11:26:25Z,MAS608,"1.167389,104.044067",5600,275,62
1727609188,2024-09-29T11:26:28Z,MAS608,"1.169312,104.047043",5650,275,59
1727609191,2024-09-29T11:26:31Z,MAS608,"1.171738,104.050346",5700,275,53
1727609194,2024-09-29T11:26:34Z,MAS608,"1.174141,104.053268",5750,276,51
1727609197,2024-09-29T11:26:37Z,MAS608,"1.176468,104.056015",5800,275,50
1727609200,2024-09-29T11:26:40Z,MAS608,"1.179199,104.05938",5850,275,50
1727609203,2024-09-29T11:26:43Z,MAS608,"1.181589,104.062355",5900,275,51
1727609206,2024-09-29T11:26:46Z,MAS608,"1.183823,104.065155",5950,276,51
1727609209,2024-09-29T11:26:49Z,MAS608,"1.186203,104.06813",6000,276,51
1727609212,2024-09-29T11:26:52Z,MAS608,"1.188572,104.071167",6050,275,51
1727609215,2024-09-29T11:26:55Z,MAS608,"1.190964,104.074135",6100,275,51
1727609231,2024-09-29T11:27:11Z,MAS608,"1.204697,104.087868",6150,276,40
1727609233,2024-09-29T11:27:13Z,MAS608,"1.207535,104.090057",6150,276,38
1727609237,2024-09-29T11:27:17Z,MAS608,"1.211103,104.092621",6150,276,36
1727609240,2024-09-29T11:27:20Z,MAS608,"1.21431,104.094711",6150,275,33
