Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1727601052,2024-09-29T09:10:52Z,AMU907,"1.350748,103.989609",0,10,174
1727601059,2024-09-29T09:10:59Z,AMU907,"1.350411,103.989647",0,11,174
1727601066,2024-09-29T09:11:06Z,AMU907,"1.350015,103.989693",0,12,174
1727601098,2024-09-29T09:11:38Z,AMU907,"1.348642,103.990509",0,0,118
1727601115,2024-09-29T09:11:55Z,AMU907,"1.348457,103.991219",0,0,87
1727601196,2024-09-29T09:13:16Z,AMU907,"1.352921,103.99324",0,18,22
1727601202,2024-09-29T09:13:22Z,AMU907,"1.353518,103.993492",0,19,22
1727601210,2024-09-29T09:13:30Z,AMU907,"1.354158,103.993767",0,20,22
1727601219,2024-09-29T09:13:39Z,AMU907,"1.354992,103.994118",0,21,22
1727601225,2024-09-29T09:13:45Z,AMU907,"1.35561,103.99437",0,22,22
1727601233,2024-09-29T09:13:53Z,AMU907,"1.356411,103.994698",0,23,22
1727601240,2024-09-29T09:14:00Z,AMU907,"1.357149,103.99501",0,24,22
1727601251,2024-09-29T09:14:11Z,AMU907,"1.358299,103.995491",0,23,22
1727601287,2024-09-29T09:14:47Z,AMU907,"1.361286,103.996742",0,0,22
1727601331,2024-09-29T09:15:31Z,AMU907,"1.362465,103.997757",0,0,106
1727601614,2024-09-29T09:20:14Z,AMU907,"1.340286,103.989975",550,167,202
1727601623,2024-09-29T09:20:23Z,AMU907,"1.333163,103.987206",975,168,201
1727601632,2024-09-29T09:20:32Z,AMU907,"1.326692,103.98465",1400,168,201
1727601642,2024-09-29T09:20:42Z,AMU907,"1.320007,103.981873",1875,167,203
1727601651,2024-09-29T09:20:51Z,AMU907,"1.313844,103.979202",2300,163,203
1727601659,2024-09-29T09:20:59Z,AMU907,"1.307652,103.976456",2675,161,203
1727601669,2024-09-29T09:21:09Z,AMU907,"1.301239,103.973633",3025,162,203
1727601678,2024-09-29T09:21:18Z,AMU907,"1.294876,103.97084",3350,163,203
1727601687,2024-09-29T09:21:27Z,AMU907,"1.288147,103.967903",3550,175,203
1727601696,2024-09-29T09:21:36Z,AMU907,"1.281235,103.964928",3725,187,203
1727601705,2024-09-29T09:21:45Z,AMU907,"1.273483,103.961586",3925,200,203
1727601714,2024-09-29T09:21:54Z,AMU907,"1.265429,103.958084",4075,214,203
1727601720,2024-09-29T09:22:00Z,AMU907,"1.259811,103.955666",4100,223,203
1727601729,2024-09-29T09:22:09Z,AMU907,"1.250952,103.951927",4150,234,202
1727601732,2024-09-29T09:22:12Z,AMU907,"1.247786,103.950882",4225,237,198
1727601735,2024-09-29T09:22:15Z,AMU907,"1.244621,103.950127",4300,240,195
1727601738,2024-09-29T09:22:18Z,AMU907,"1.240723,103.949471",4375,245,190
1727601741,2024-09-29T09:22:21Z,AMU907,"1.237473,103.949242",4450,247,186
1727601744,2024-09-29T09:22:24Z,AMU907,"1.234146,103.949272",4500,252,181
1727601747,2024-09-29T09:22:27Z,AMU907,"1.230377,103.949707",4575,256,174
1727601750,2024-09-29T09:22:30Z,AMU907,"1.226605,103.9506",4650,258,167
1727601753,2024-09-29T09:22:33Z,AMU907,"1.223207,103.951828",4725,262,161
1727601756,2024-09-29T09:22:36Z,AMU907,"1.219666,103.953568",4825,265,154
1727601759,2024-09-29T09:22:39Z,AMU907,"1.216689,103.955528",4925,266,150
1727601762,2024-09-29T09:22:42Z,AMU907,"1.213898,103.957756",5075,269,142
1727601765,2024-09-29T09:22:45Z,AMU907,"1.210648,103.960503",5225,270,139
1727601768,2024-09-29T09:22:48Z,AMU907,"1.207798,103.963058",5375,271,138
1727601771,2024-09-29T09:22:51Z,AMU907,"1.205292,103.965347",5500,271,137
1727601774,2024-09-29T09:22:54Z,AMU907,"1.202491,103.967934",5625,272,137
1727601777,2024-09-29T09:22:57Z,AMU907,"1.199478,103.970695",5725,274,136
1727601780,2024-09-29T09:23:00Z,AMU907,"1.196548,103.973396",5800,276,137
1727601783,2024-09-29T09:23:03Z,AMU907,"1.193893,103.975723",5900,276,138
1727601786,2024-09-29T09:23:06Z,AMU907,"1.190781,103.978424",6000,278,138
1727601790,2024-09-29T09:23:10Z,AMU907,"1.187759,103.981033",6075,279,138
1727601804,2024-09-29T09:23:24Z,AMU907,"1.173981,103.994484",6150,280,129
1727601807,2024-09-29T09:23:27Z,AMU907,"1.171875,103.997559",6150,277,124
1727601811,2024-09-29T09:23:31Z,AMU907,"1.169672,104.001457",6150,276,119
1727601814,2024-09-29T09:23:34Z,AMU907,"1.168167,104.00515",6175,274,113
1727601817,2024-09-29T09:23:37Z,AMU907,"1.167252,104.00827",6200,274,108
1727601819,2024-09-29T09:23:39Z,AMU907,"1.166366,104.012253",6275,274,104
1727601823,2024-09-29T09:23:43Z,AMU907,"1.165924,104.016182",6350,273,97
1727601825,2024-09-29T09:23:45Z,AMU907,"1.165854,104.019783",6450,273,93
1727601829,2024-09-29T09:23:49Z,AMU907,"1.166134,104.024002",6600,275,87
1727601831,2024-09-29T09:23:51Z,AMU907,"1.166473,104.026512",6675,276,84
1727601834,2024-09-29T09:23:54Z,AMU907,"1.16748,104.03112",6825,276,79
1727601837,2024-09-29T09:23:57Z,AMU907,"1.168716,104.034798",6975,277,72
1727601841,2024-09-29T09:24:01Z,AMU907,"1.170273,104.038429",7125,277,67
1727601843,2024-09-29T09:24:03Z,AMU907,"1.171953,104.041382",7250,278,62
1727601847,2024-09-29T09:24:07Z,AMU907,"1.174438,104.045135",7425,277,57
1727601850,2024-09-29T09:24:10Z,AMU907,"1.176865,104.048065",7550,277,52
1727601853,2024-09-29T09:24:13Z,AMU907,"1.17952,104.05072",7650,275,47
1727601856,2024-09-29T09:24:16Z,AMU907,"1.182541,104.053238",7800,274,41
1727601859,2024-09-29T09:24:19Z,AMU907,"1.186111,104.055473",7950,274,33
1727601862,2024-09-29T09:24:22Z,AMU907,"1.189037,104.057098",8075,274,30
1727601865,2024-09-29T09:24:25Z,AMU907,"1.192657,104.058685",8200,275,25
1727601868,2024-09-29T09:24:28Z,AMU907,"1.196299,104.059845",8350,276,19
1727601871,2024-09-29T09:24:31Z,AMU907,"1.200117,104.060699",8500,276,14
1727601874,2024-09-29T09:24:34Z,AMU907,"1.204493,104.061218",8625,277,9
1727601877,2024-09-29T09:24:37Z,AMU907,"1.20813,104.061333",8750,279,4
1727601880,2024-09-29T09:24:40Z,AMU907,"1.212524,104.061104",8875,282,357
1727601883,2024-09-29T09:24:43Z,AMU907,"1.21641,104.060608",9000,286,353
1727601886,2024-09-29T09:24:46Z,AMU907,"1.220088,104.060036",9100,286,351
1727601889,2024-09-29T09:24:49Z,AMU907,"1.224091,104.059326",9225,288,350
1727601892,2024-09-29T09:24:52Z,AMU907,"1.228317,104.058495",9375,289,349
1727601895,2024-09-29T09:24:55Z,AMU907,"1.232284,104.057716",9500,289,348
1727601898,2024-09-29T09:24:58Z,AMU907,"1.235641,104.057053",9625,290,348
1727601901,2024-09-29T09:25:01Z,AMU907,"1.240198,104.056152",9775,290,348
1727601904,2024-09-29T09:25:04Z,AMU907,"1.244293,104.055328",9900,292,348
1727601919,2024-09-29T09:25:19Z,AMU907,"1.264206,104.051651",10425,296,349
1727601934,2024-09-29T09:25:34Z,AMU907,"1.285767,104.047653",10750,313,349
1727601949,2024-09-29T09:25:49Z,AMU907,"1.307465,104.043556",11225,322,349
1727601965,2024-09-29T09:26:05Z,AMU907,"1.330261,104.039177",11775,328,348
1727601979,2024-09-29T09:26:19Z,AMU907,"1.352417,104.034897",12375,331,348
1727602013,2024-09-29T09:26:53Z,AMU907,"1.403183,104.02507",13750,329,349
1727602043,2024-09-29T09:27:23Z,AMU907,"1.447402,104.012497",14000,332,341
1727602077,2024-09-29T09:27:57Z,AMU907,"1.497306,103.996346",14150,338,341
