Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1727770980,2024-10-01T08:23:00Z,CCA776,"1.365761,103.994179",0,0,109
1727770986,2024-10-01T08:23:06Z,CCA776,"1.365668,103.994438",0,9,109
1727770997,2024-10-01T08:23:17Z,CCA776,"1.365459,103.994888",0,11,112
1727771005,2024-10-01T08:23:25Z,CCA776,"1.365292,103.9953",0,12,112
1727771012,2024-10-01T08:23:32Z,CCA776,"1.365144,103.995636",0,12,112
1727771021,2024-10-01T08:23:41Z,CCA776,"1.364925,103.996155",0,15,112
1727771067,2024-10-01T08:24:27Z,CCA776,"1.364085,103.998123",0,0,112
1727771102,2024-10-01T08:25:02Z,CCA776,"1.363783,103.998688",0,10,120
1727771108,2024-10-01T08:25:08Z,CCA776,"1.363529,103.998817",0,11,146
1727771113,2024-10-01T08:25:13Z,CCA776,"1.363312,103.998825",0,11,163
1727771120,2024-10-01T08:25:20Z,CCA776,"1.362934,103.998848",0,11,171
1727771163,2024-10-01T08:26:03Z,CCA776,"1.36124,103.99868",0,0,202
1727771182,2024-10-01T08:26:22Z,CCA776,"1.35894,103.997711",0,0,202
1727771189,2024-10-01T08:26:29Z,CCA776,"1.356614,103.996727",0,0,202
1727771216,2024-10-01T08:26:56Z,CCA776,"1.34117,103.990189",375,160,203
1727771225,2024-10-01T08:27:05Z,CCA776,"1.334747,103.987503",750,157,202
1727771234,2024-10-01T08:27:14Z,CCA776,"1.328293,103.984848",1125,156,202
1727771240,2024-10-01T08:27:20Z,CCA776,"1.324411,103.983276",1325,155,202
1727771249,2024-10-01T08:27:29Z,CCA776,"1.318222,103.980705",1675,156,202
1727771258,2024-10-01T08:27:38Z,CCA776,"1.311996,103.978058",1950,159,203
1727771267,2024-10-01T08:27:47Z,CCA776,"1.305837,103.975418",2275,160,203
1727771277,2024-10-01T08:27:57Z,CCA776,"1.299506,103.972954",2700,158,197
1727771279,2024-10-01T08:27:59Z,CCA776,"1.29744,103.972466",2825,158,190
1727771283,2024-10-01T08:28:03Z,CCA776,"1.295363,103.972244",2925,160,180
1727771286,2024-10-01T08:28:06Z,CCA776,"1.292802,103.972427",3050,162,172
1727771289,2024-10-01T08:28:09Z,CCA776,"1.290573,103.972931",3150,164,163
1727771292,2024-10-01T08:28:12Z,CCA776,"1.28838,103.973801",3250,168,154
1727771295,2024-10-01T08:28:15Z,CCA776,"1.286331,103.974991",3325,171,147
1727771298,2024-10-01T08:28:18Z,CCA776,"1.284469,103.97641",3400,175,139
1727771300,2024-10-01T08:28:20Z,CCA776,"1.283026,103.977829",3450,180,132
1727771304,2024-10-01T08:28:24Z,CCA776,"1.281281,103.980103",3500,187,123
1727771307,2024-10-01T08:28:27Z,CCA776,"1.28,103.982376",3550,192,115
