Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1727767562,2024-10-01T07:26:02Z,UAE348,"1.363969,103.990044",0,0,292
1727767667,2024-10-01T07:27:47Z,UAE348,"1.363712,103.99073",0,0,300
1727767695,2024-10-01T07:28:15Z,UAE348,"1.363609,103.99102",0,2,351
1727767787,2024-10-01T07:29:47Z,UAE348,"1.363781,103.991264",0,1,22
1727768114,2024-10-01T07:35:14Z,UAE348,"1.365086,103.995804",0,0,112
1727768372,2024-10-01T07:39:32Z,UAE348,"1.363369,103.998795",0,10,163
1727768381,2024-10-01T07:39:41Z,UAE348,"1.362968,103.99884",0,10,171
1727768431,2024-10-01T07:40:31Z,UAE348,"1.359162,103.997803",0,0,202
1727768465,2024-10-01T07:41:05Z,UAE348,"1.340332,103.989861",325,169,203
1727768474,2024-10-01T07:41:14Z,UAE348,"1.333969,103.987228",575,170,202
1727768483,2024-10-01T07:41:23Z,UAE348,"1.327344,103.984413",875,172,203
1727768493,2024-10-01T07:41:33Z,UAE348,"1.32074,103.98159",1225,172,203
1727768501,2024-10-01T07:41:41Z,UAE348,"1.31389,103.978638",1550,174,203
1727768511,2024-10-01T07:41:51Z,UAE348,"1.307001,103.9757",1850,176,203
1727768520,2024-10-01T07:42:00Z,UAE348,"1.300232,103.972794",2225,176,203
1727768529,2024-10-01T07:42:09Z,UAE348,"1.293365,103.969955",2575,175,202
1727768538,2024-10-01T07:42:18Z,UAE348,"1.286728,103.967163",2850,178,202
1727768547,2024-10-01T07:42:27Z,UAE348,"1.279581,103.964142",3175,180,203
1727768556,2024-10-01T07:42:36Z,UAE348,"1.272675,103.96125",3500,181,202
1727768565,2024-10-01T07:42:45Z,UAE348,"1.265442,103.958221",3850,181,202
1727768574,2024-10-01T07:42:54Z,UAE348,"1.258633,103.955338",4150,181,203
1727768583,2024-10-01T07:43:03Z,UAE348,"1.25179,103.952446",4450,183,202
1727768592,2024-10-01T07:43:12Z,UAE348,"1.244064,103.949287",4650,192,202
1727768598,2024-10-01T07:43:18Z,UAE348,"1.238895,103.947472",4750,201,197
1727768601,2024-10-01T07:43:21Z,UAE348,"1.236148,103.946861",4800,204,194
1727768604,2024-10-01T07:43:24Z,UAE348,"1.23317,103.946541",4825,207,188
1727768607,2024-10-01T07:43:27Z,UAE348,"1.230608,103.946434",4850,212,182
1727768610,2024-10-01T07:43:30Z,UAE348,"1.22699,103.946815",4875,218,174
1727768613,2024-10-01T07:43:33Z,UAE348,"1.223951,103.947472",4900,222,168
1727768616,2024-10-01T07:43:36Z,UAE348,"1.221065,103.948471",4950,226,163
1727768619,2024-10-01T07:43:39Z,UAE348,"1.218201,103.949799",5000,229,157
1727768622,2024-10-01T07:43:42Z,UAE348,"1.215454,103.951424",5075,233,151
1727768625,2024-10-01T07:43:45Z,UAE348,"1.21257,103.953476",5150,237,143
1727768628,2024-10-01T07:43:48Z,UAE348,"1.210172,103.95562",5200,237,143
1727768631,2024-10-01T07:43:51Z,UAE348,"1.207764,103.95813",5250,245,134
1727768634,2024-10-01T07:43:54Z,UAE348,"1.205887,103.960503",5325,248,128
1727768637,2024-10-01T07:43:57Z,UAE348,"1.203562,103.964188",5425,252,121
1727768640,2024-10-01T07:44:00Z,UAE348,"1.202179,103.967018",5475,256,116
1727768643,2024-10-01T07:44:03Z,UAE348,"1.200629,103.970917",5550,260,110
1727768646,2024-10-01T07:44:06Z,UAE348,"1.199698,103.974419",5575,264,105
1727768649,2024-10-01T07:44:09Z,UAE348,"1.199046,103.97802",5625,269,100
1727768653,2024-10-01T07:44:13Z,UAE348,"1.198792,103.981125",5675,272,94
1727768655,2024-10-01T07:44:15Z,UAE348,"1.198813,103.985504",5750,277,89
1727768658,2024-10-01T07:44:18Z,UAE348,"1.199279,103.989571",5825,277,84
1727768662,2024-10-01T07:44:22Z,UAE348,"1.199977,103.99308",5900,281,78
1727768665,2024-10-01T07:44:25Z,UAE348,"1.201126,103.997002",5975,283,74
1727768668,2024-10-01T07:44:28Z,UAE348,"1.202444,104.000465",6025,285,69
1727768671,2024-10-01T07:44:31Z,UAE348,"1.204422,104.004639",6075,285,64
1727768674,2024-10-01T07:44:34Z,UAE348,"1.206494,104.007996",6100,286,59
1727768676,2024-10-01T07:44:36Z,UAE348,"1.208589,104.01088",6150,285,56
1727768679,2024-10-01T07:44:39Z,UAE348,"1.211197,104.013855",6175,285,49
1727768683,2024-10-01T07:44:43Z,UAE348,"1.214493,104.017021",6175,285,44
1727768686,2024-10-01T07:44:46Z,UAE348,"1.217574,104.019455",6175,285,39
1727768689,2024-10-01T07:44:49Z,UAE348,"1.220856,104.021629",6175,285,34
1727768692,2024-10-01T07:44:52Z,UAE348,"1.22451,104.023575",6175,284,30
1727768694,2024-10-01T07:44:54Z,UAE348,"1.227448,104.025024",6175,284,26
1727768698,2024-10-01T07:44:58Z,UAE348,"1.231293,104.026749",6175,284,24
1727768701,2024-10-01T07:45:01Z,UAE348,"1.235264,104.02845",6175,284,22
1727768703,2024-10-01T07:45:03Z,UAE348,"1.238476,104.029686",6175,286,22
1727768706,2024-10-01T07:45:06Z,UAE348,"1.242462,104.031219",6175,284,21
1727768710,2024-10-01T07:45:10Z,UAE348,"1.24625,104.032669",6175,284,20
1727768713,2024-10-01T07:45:13Z,UAE348,"1.249835,104.033989",6175,284,20
1727768715,2024-10-01T07:45:15Z,UAE348,"1.253036,104.035126",6175,284,20
1727768719,2024-10-01T07:45:19Z,UAE348,"1.257568,104.036758",6175,284,20
1727768722,2024-10-01T07:45:22Z,UAE348,"1.261414,104.038155",6175,285,20
1727768737,2024-10-01T07:45:37Z,UAE348,"1.280365,104.045135",6300,287,20
1727768752,2024-10-01T07:45:52Z,UAE348,"1.299545,104.050674",6975,287,11
1727768755,2024-10-01T07:45:55Z,UAE348,"1.302933,104.051277",7100,287,9
1727768758,2024-10-01T07:45:58Z,UAE348,"1.307602,104.051933",7250,287,8
1727768761,2024-10-01T07:46:01Z,UAE348,"1.311768,104.052399",7400,287,6
1727768764,2024-10-01T07:46:04Z,UAE348,"1.315247,104.052681",7500,288,4
1727768767,2024-10-01T07:46:07Z,UAE348,"1.319366,104.052727",7650,290,2
1727768770,2024-10-01T07:46:10Z,UAE348,"1.323807,104.052628",7775,290,358
1727768773,2024-10-01T07:46:13Z,UAE348,"1.327927,104.052261",7900,289,355
1727768776,2024-10-01T07:46:16Z,UAE348,"1.331543,104.05175",8000,290,353
1727768779,2024-10-01T07:46:19Z,UAE348,"1.336121,104.050865",8150,291,348
1727768782,2024-10-01T07:46:22Z,UAE348,"1.339447,104.050049",8250,291,346
1727768785,2024-10-01T07:46:25Z,UAE348,"1.343684,104.048676",8400,291,343
1727768788,2024-10-01T07:46:28Z,UAE348,"1.346989,104.047539",8500,292,341
1727768791,2024-10-01T07:46:31Z,UAE348,"1.351365,104.045975",8650,294,340
1727768794,2024-10-01T07:46:34Z,UAE348,"1.355392,104.044533",8800,293,340
1727768797,2024-10-01T07:46:37Z,UAE348,"1.359093,104.043182",8950,293,340
1727768800,2024-10-01T07:46:40Z,UAE348,"1.3629,104.041832",9075,293,340
1727768803,2024-10-01T07:46:43Z,UAE348,"1.367249,104.040245",9200,294,339
1727768818,2024-10-01T07:46:58Z,UAE348,"1.386652,104.033043",9825,298,339
1727768834,2024-10-01T07:47:14Z,UAE348,"1.406433,104.025681",10400,302,339
1727768848,2024-10-01T07:47:28Z,UAE348,"1.426254,104.018272",10975,310,339
1727768864,2024-10-01T07:47:44Z,UAE348,"1.447821,104.01107",11225,329,342
1727768879,2024-10-01T07:47:59Z,UAE348,"1.470632,104.003922",11500,350,342
1727768894,2024-10-01T07:48:14Z,UAE348,"1.494919,103.996254",11875,367,342
1727768909,2024-10-01T07:48:29Z,UAE348,"1.519977,103.988342",12275,384,342
1727768939,2024-10-01T07:48:59Z,UAE348,"1.573013,103.971306",13500,405,341
1727768972,2024-10-01T07:49:32Z,UAE348,"1.63389,103.951645",15100,415,341
1727769005,2024-10-01T07:50:05Z,UAE348,"1.694781,103.931992",16625,423,342
