Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1727765159,2024-10-01T06:45:59Z,AIQ356,"1.337795,103.984444",0,0,292
1727765360,2024-10-01T06:49:20Z,AIQ356,"1.337711,103.98465",0,2,292
1727765380,2024-10-01T06:49:40Z,AIQ356,"1.337679,103.984863",0,2,326
1727765407,2024-10-01T06:50:07Z,AIQ356,"1.337469,103.985031",0,1,22
1727765454,2024-10-01T06:50:54Z,AIQ356,"1.337341,103.984741",0,0,22
1727765596,2024-10-01T06:53:16Z,AIQ356,"1.337585,103.984848",0,5,22
1727765604,2024-10-01T06:53:24Z,AIQ356,"1.337748,103.985146",0,6,22
1727765611,2024-10-01T06:53:31Z,AIQ356,"1.338055,103.984932",0,9,22
1727765619,2024-10-01T06:53:39Z,AIQ356,"1.338307,103.985382",0,10,22
1727765625,2024-10-01T06:53:45Z,AIQ356,"1.338598,103.985504",0,11,22
1727765691,2024-10-01T06:54:51Z,AIQ356,"1.340446,103.987503",0,10,112
1727765699,2024-10-01T06:54:59Z,AIQ356,"1.340469,103.987839",0,9,81
1727765709,2024-10-01T06:55:09Z,AIQ356,"1.340763,103.988091",0,0,36
1727765717,2024-10-01T06:55:17Z,AIQ356,"1.340984,103.988174",0,8,25
1727765722,2024-10-01T06:55:22Z,AIQ356,"1.341217,103.988274",0,9,22
1727765736,2024-10-01T06:55:36Z,AIQ356,"1.341845,103.988541",0,11,22
1727765744,2024-10-01T06:55:44Z,AIQ356,"1.342232,103.988701",0,12,22
1727765750,2024-10-01T06:55:50Z,AIQ356,"1.342566,103.988838",0,13,22
1727765758,2024-10-01T06:55:58Z,AIQ356,"1.342999,103.989029",0,13,22
1727765779,2024-10-01T06:56:19Z,AIQ356,"1.34428,103.989563",0,0,22
1727765787,2024-10-01T06:56:27Z,AIQ356,"1.344727,103.989754",0,14,22
1727765798,2024-10-01T06:56:38Z,AIQ356,"1.345453,103.990059",0,14,22
1727765813,2024-10-01T06:56:53Z,AIQ356,"1.346372,103.99044",0,14,22
1727765932,2024-10-01T06:58:52Z,AIQ356,"1.354099,103.993729",0,19,22
1727765947,2024-10-01T06:59:07Z,AIQ356,"1.355252,103.994217",0,0,19
1727765959,2024-10-01T06:59:19Z,AIQ356,"1.356216,103.994606",0,17,22
1727766011,2024-10-01T07:00:11Z,AIQ356,"1.359896,103.996155",0,0,22
1727766090,2024-10-01T07:01:30Z,AIQ356,"1.361,103.998573",0,0,202
1727766130,2024-10-01T07:02:10Z,AIQ356,"1.343684,103.99128",250,168,202
1727766139,2024-10-01T07:02:19Z,AIQ356,"1.335863,103.98806",625,165,202
1727766149,2024-10-01T07:02:29Z,AIQ356,"1.3293,103.985268",875,172,203
1727766158,2024-10-01T07:02:38Z,AIQ356,"1.322342,103.982338",1100,182,203
1727766167,2024-10-01T07:02:47Z,AIQ356,"1.314821,103.979202",1300,195,202
1727766176,2024-10-01T07:02:56Z,AIQ356,"1.306628,103.9757",1525,208,203
1727766182,2024-10-01T07:03:02Z,AIQ356,"1.301239,103.973396",1675,220,203
1727766191,2024-10-01T07:03:11Z,AIQ356,"1.292244,103.969635",2050,231,202
1727766197,2024-10-01T07:03:17Z,AIQ356,"1.286331,103.967178",2375,234,202
1727766206,2024-10-01T07:03:26Z,AIQ356,"1.276742,103.963196",2950,235,202
1727766215,2024-10-01T07:03:35Z,AIQ356,"1.267664,103.959412",3450,238,202
1727766224,2024-10-01T07:03:44Z,AIQ356,"1.258255,103.955429",3975,242,202
1727766233,2024-10-01T07:03:53Z,AIQ356,"1.249054,103.951797",4450,245,200
1727766236,2024-10-01T07:03:56Z,AIQ356,"1.245255,103.950729",4600,250,195
1727766240,2024-10-01T07:04:00Z,AIQ356,"1.241638,103.950027",4700,254,191
1727766242,2024-10-01T07:04:02Z,AIQ356,"1.238159,103.949654",4775,258,186
1727766246,2024-10-01T07:04:06Z,AIQ356,"1.23436,103.949562",4850,265,181
1727766249,2024-10-01T07:04:09Z,AIQ356,"1.230515,103.94989",4875,271,175
1727766251,2024-10-01T07:04:11Z,AIQ356,"1.226944,103.950592",4925,276,169
1727766254,2024-10-01T07:04:14Z,AIQ356,"1.223282,103.951752",4975,277,163
1727766257,2024-10-01T07:04:17Z,AIQ356,"1.219757,103.953339",5025,280,156
1727766261,2024-10-01T07:04:21Z,AIQ356,"1.216084,103.955429",5075,282,150
1727766263,2024-10-01T07:04:23Z,AIQ356,"1.213394,103.957382",5125,282,147
1727766266,2024-10-01T07:04:26Z,AIQ356,"1.210312,103.959831",5200,281,142
1727766269,2024-10-01T07:04:29Z,AIQ356,"1.207332,103.962341",5250,281,140
1727766272,2024-10-01T07:04:32Z,AIQ356,"1.20433,103.965019",5300,282,138
1727766276,2024-10-01T07:04:36Z,AIQ356,"1.201492,103.967674",5350,281,137
1727766279,2024-10-01T07:04:39Z,AIQ356,"1.198394,103.970581",5425,281,136
1727766281,2024-10-01T07:04:41Z,AIQ356,"1.196045,103.972748",5450,281,136
1727766285,2024-10-01T07:04:45Z,AIQ356,"1.192529,103.976128",5525,282,136
1727766288,2024-10-01T07:04:48Z,AIQ356,"1.189549,103.97892",5575,282,136
1727766291,2024-10-01T07:04:51Z,AIQ356,"1.18671,103.981621",5625,282,136
1727766294,2024-10-01T07:04:54Z,AIQ356,"1.183777,103.984337",5675,282,136
1727766309,2024-10-01T07:05:09Z,AIQ356,"1.170731,103.998352",5900,282,127
1727766312,2024-10-01T07:05:12Z,AIQ356,"1.168415,104.00222",5950,282,121
1727766315,2024-10-01T07:05:15Z,AIQ356,"1.166611,104.005753",6000,283,117
1727766318,2024-10-01T07:05:18Z,AIQ356,"1.165375,104.008965",6025,284,113
1727766321,2024-10-01T07:05:21Z,AIQ356,"1.164132,104.012634",6075,284,107
1727766324,2024-10-01T07:05:24Z,AIQ356,"1.163223,104.017067",6100,283,102
1727766327,2024-10-01T07:05:27Z,AIQ356,"1.162811,104.020187",6100,284,100
1727766330,2024-10-01T07:05:30Z,AIQ356,"1.162766,104.024651",6125,283,93
1727766333,2024-10-01T07:05:33Z,AIQ356,"1.163061,104.028786",6125,283,87
1727766336,2024-10-01T07:05:36Z,AIQ356,"1.163727,104.032616",6125,282,82
1727766339,2024-10-01T07:05:39Z,AIQ356,"1.164784,104.036499",6150,282,75
1727766342,2024-10-01T07:05:42Z,AIQ356,"1.166153,104.040108",6150,281,71
1727766345,2024-10-01T07:05:45Z,AIQ356,"1.167938,104.043785",6150,280,66
1727766348,2024-10-01T07:05:48Z,AIQ356,"1.170091,104.047348",6150,282,59
1727766351,2024-10-01T07:05:51Z,AIQ356,"1.172372,104.050377",6150,282,55
1727766354,2024-10-01T07:05:54Z,AIQ356,"1.174978,104.053314",6150,282,48
1727766357,2024-10-01T07:05:57Z,AIQ356,"1.177597,104.055794",6150,282,45
1727766360,2024-10-01T07:06:00Z,AIQ356,"1.18117,104.058617",6150,281,39
1727766363,2024-10-01T07:06:03Z,AIQ356,"1.184418,104.060684",6150,282,33
1727766366,2024-10-01T07:06:06Z,AIQ356,"1.187897,104.0625",6150,281,27
1727766369,2024-10-01T07:06:09Z,AIQ356,"1.191458,104.063919",6150,281,22
1727766372,2024-10-01T07:06:12Z,AIQ356,"1.195182,104.065056",6150,280,17
1727766375,2024-10-01T07:06:15Z,AIQ356,"1.199139,104.065865",6150,280,11
1727766378,2024-10-01T07:06:18Z,AIQ356,"1.202724,104.066238",6150,279,6
1727766381,2024-10-01T07:06:21Z,AIQ356,"1.206665,104.066315",6175,280,1
1727766384,2024-10-01T07:06:24Z,AIQ356,"1.210556,104.065994",6175,280,355
1727766387,2024-10-01T07:06:27Z,AIQ356,"1.214264,104.065338",6200,281,350
1727766390,2024-10-01T07:06:30Z,AIQ356,"1.217926,104.064453",6225,282,346
1727766393,2024-10-01T07:06:33Z,AIQ356,"1.221763,104.063309",6250,282,343
1727766396,2024-10-01T07:06:36Z,AIQ356,"1.225571,104.06208",6300,282,341
1727766399,2024-10-01T07:06:39Z,AIQ356,"1.229352,104.060799",6325,282,340
1727766402,2024-10-01T07:06:42Z,AIQ356,"1.232895,104.059517",6350,283,340
1727766406,2024-10-01T07:06:46Z,AIQ356,"1.236969,104.058075",6375,283,340
1727766408,2024-10-01T07:06:48Z,AIQ356,"1.240617,104.05677",6400,282,340
1727766411,2024-10-01T07:06:51Z,AIQ356,"1.244341,104.055443",6450,284,340
1727766414,2024-10-01T07:06:54Z,AIQ356,"1.247926,104.054169",6475,283,340
1727766418,2024-10-01T07:06:58Z,AIQ356,"1.252162,104.05265",6500,283,340
1727766433,2024-10-01T07:07:13Z,AIQ356,"1.270969,104.046066",6700,284,340
1727766444,2024-10-01T07:07:24Z,AIQ356,"1.285726,104.040855",6825,285,340
1727766460,2024-10-01T07:07:40Z,AIQ356,"1.305084,104.034195",7100,286,340
1727766475,2024-10-01T07:07:55Z,AIQ356,"1.324272,104.027649",7500,288,340
1727766487,2024-10-01T07:08:07Z,AIQ356,"1.339691,104.022324",8075,290,340
1727766502,2024-10-01T07:08:22Z,AIQ356,"1.35878,104.015717",8975,290,340
1727766517,2024-10-01T07:08:37Z,AIQ356,"1.378281,104.008781",9700,298,339
1727766532,2024-10-01T07:08:52Z,AIQ356,"1.397552,104.001656",10425,302,339
1727766547,2024-10-01T07:09:07Z,AIQ356,"1.417969,103.994019",10825,320,339
