Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1727776422,2024-10-01T09:53:42Z,KLM835,"1.364147,103.989067",0,0,112
1727776527,2024-10-01T09:55:27Z,KLM835,"1.364213,103.988838",0,2,123
1727776546,2024-10-01T09:55:46Z,KLM835,"1.364353,103.988632",0,3,126
1727776575,2024-10-01T09:56:15Z,KLM835,"1.364609,103.988388",0,2,81
1727776592,2024-10-01T09:56:32Z,KLM835,"1.364616,103.988167",0,3,56
1727776620,2024-10-01T09:57:00Z,KLM835,"1.364491,103.987938",0,2,22
1727776785,2024-10-01T09:59:45Z,KLM835,"1.364714,103.988037",0,0,22
1727776798,2024-10-01T09:59:58Z,KLM835,"1.365086,103.988167",0,8,16
1727776873,2024-10-01T10:01:13Z,KLM835,"1.367903,103.989197",0,9,112
1727776882,2024-10-01T10:01:22Z,KLM835,"1.367728,103.989609",0,13,112
1727776890,2024-10-01T10:01:30Z,KLM835,"1.367477,103.990196",0,18,112
1727776900,2024-10-01T10:01:40Z,KLM835,"1.367088,103.991104",0,22,112
1727776913,2024-10-01T10:01:53Z,KLM835,"1.366541,103.992371",0,23,112
1727776924,2024-10-01T10:02:04Z,KLM835,"1.366058,103.9935",0,23,112
1727776934,2024-10-01T10:02:14Z,KLM835,"1.365633,103.994499",0,22,112
1727776946,2024-10-01T10:02:26Z,KLM835,"1.365168,103.995575",0,19,112
1727776979,2024-10-01T10:02:59Z,KLM835,"1.364147,103.997978",0,0,112
1727777139,2024-10-01T10:05:39Z,KLM835,"1.362888,103.998863",0,15,171
1727777166,2024-10-01T10:06:06Z,KLM835,"1.361513,103.998817",0,0,202
1727777205,2024-10-01T10:06:45Z,KLM835,"1.359826,103.9981",0,53,202
1727777234,2024-10-01T10:07:14Z,KLM835,"1.343823,103.991325",350,176,203
1727777243,2024-10-01T10:07:23Z,KLM835,"1.336899,103.988388",850,174,202
1727777252,2024-10-01T10:07:32Z,KLM835,"1.329941,103.985458",1350,176,203
1727777261,2024-10-01T10:07:41Z,KLM835,"1.323247,103.982613",1650,181,203
1727777267,2024-10-01T10:07:47Z,KLM835,"1.318499,103.980621",1775,188,203
1727777276,2024-10-01T10:07:56Z,KLM835,"1.310585,103.977211",1925,204,203
1727777285,2024-10-01T10:08:05Z,KLM835,"1.302155,103.973679",2075,220,202
1727777294,2024-10-01T10:08:14Z,KLM835,"1.293268,103.969971",2350,231,202
1727777303,2024-10-01T10:08:23Z,KLM835,"1.284073,103.966133",2675,238,202
1727777313,2024-10-01T10:08:33Z,KLM835,"1.274414,103.962135",3050,243,202
1727777322,2024-10-01T10:08:42Z,KLM835,"1.265167,103.958267",3500,246,203
1727777331,2024-10-01T10:08:51Z,KLM835,"1.255554,103.95417",3975,244,203
1727777340,2024-10-01T10:09:00Z,KLM835,"1.245987,103.950127",4375,246,202
1727777349,2024-10-01T10:09:09Z,KLM835,"1.236148,103.946907",4650,254,194
1727777352,2024-10-01T10:09:12Z,KLM835,"1.23275,103.946243",4750,255,191
1727777355,2024-10-01T10:09:15Z,KLM835,"1.228683,103.945793",4875,259,185
1727777358,2024-10-01T10:09:18Z,KLM835,"1.225302,103.945679",4950,261,182
1727777361,2024-10-01T10:09:21Z,KLM835,"1.221588,103.945839",5050,264,178
1727777364,2024-10-01T10:09:24Z,KLM835,"1.21762,103.946388",5125,267,173
1727777366,2024-10-01T10:09:26Z,KLM835,"1.214688,103.946953",5200,270,169
1727777370,2024-10-01T10:09:30Z,KLM835,"1.210358,103.947998",5325,271,167
1727777373,2024-10-01T10:09:33Z,KLM835,"1.20682,103.948845",5450,273,166
1727777376,2024-10-01T10:09:36Z,KLM835,"1.20282,103.94989",5600,274,165
1727777379,2024-10-01T10:09:39Z,KLM835,"1.199372,103.950836",5700,275,165
1727777382,2024-10-01T10:09:42Z,KLM835,"1.195555,103.951828",5775,274,165
1727777385,2024-10-01T10:09:45Z,KLM835,"1.191467,103.952919",5875,275,165
1727777388,2024-10-01T10:09:48Z,KLM835,"1.187897,103.953896",5975,276,165
1727777391,2024-10-01T10:09:51Z,KLM835,"1.184149,103.954865",6075,277,165
1727777406,2024-10-01T10:10:06Z,KLM835,"1.165009,103.9599",6825,279,165
1727777421,2024-10-01T10:10:21Z,KLM835,"1.14624,103.964691",7350,276,165
1727777436,2024-10-01T10:10:36Z,KLM835,"1.127728,103.969398",7725,281,165
1727777452,2024-10-01T10:10:52Z,KLM835,"1.108223,103.976265",8050,286,156
1727777454,2024-10-01T10:10:54Z,KLM835,"1.104964,103.977921",8100,288,154
1727777457,2024-10-01T10:10:57Z,KLM835,"1.102124,103.979393",8150,288,152
1727777460,2024-10-01T10:11:00Z,KLM835,"1.097888,103.981995",8200,290,149
1727777463,2024-10-01T10:11:03Z,KLM835,"1.094397,103.984314",8200,291,146
1727777467,2024-10-01T10:11:07Z,KLM835,"1.090952,103.986778",8200,292,144
1727777469,2024-10-01T10:11:09Z,KLM835,"1.087786,103.989151",8175,292,143
1727777472,2024-10-01T10:11:12Z,KLM835,"1.0849,103.991325",8175,292,142
1727777475,2024-10-01T10:11:15Z,KLM835,"1.081467,103.993973",8175,292,142
1727777479,2024-10-01T10:11:19Z,KLM835,"1.077713,103.996864",8175,290,141
1727777482,2024-10-01T10:11:22Z,KLM835,"1.074738,103.999191",8175,289,141
1727777484,2024-10-01T10:11:24Z,KLM835,"1.071819,104.001511",8175,288,141
1727777488,2024-10-01T10:11:28Z,KLM835,"1.068327,104.004204",8175,287,141
1727777503,2024-10-01T10:11:43Z,KLM835,"1.052994,104.016365",8150,287,141
1727777518,2024-10-01T10:11:58Z,KLM835,"1.037091,104.029778",8150,287,137
1727777524,2024-10-01T10:12:04Z,KLM835,"1.031662,104.035828",8175,288,131
1727777527,2024-10-01T10:12:07Z,KLM835,"1.029099,104.039085",8175,287,128
1727777530,2024-10-01T10:12:10Z,KLM835,"1.026849,104.042282",8175,288,125
1727777533,2024-10-01T10:12:13Z,KLM835,"1.024615,104.045784",8175,288,122
1727777536,2024-10-01T10:12:16Z,KLM835,"1.022846,104.048958",8175,289,119
1727777539,2024-10-01T10:12:19Z,KLM835,"1.020984,104.05265",8175,289,116
1727777542,2024-10-01T10:12:22Z,KLM835,"1.019211,104.056496",8175,292,114
1727777545,2024-10-01T10:12:25Z,KLM835,"1.017911,104.059425",8175,292,114
1727777548,2024-10-01T10:12:28Z,KLM835,"1.016006,104.063942",8175,292,113
1727777551,2024-10-01T10:12:31Z,KLM835,"1.014359,104.06781",8175,293,112
1727777554,2024-10-01T10:12:34Z,KLM835,"1.012697,104.071785",8150,292,112
1727777557,2024-10-01T10:12:37Z,KLM835,"1.011154,104.075394",8175,292,112
1727777560,2024-10-01T10:12:40Z,KLM835,"1.009718,104.078888",8175,291,112
1727777563,2024-10-01T10:12:43Z,KLM835,"1.008087,104.082893",8175,291,112
1727777578,2024-10-01T10:12:58Z,KLM835,"1.000268,104.101662",8400,296,112
1727777593,2024-10-01T10:13:13Z,KLM835,"0.992477,104.120506",9250,291,112
1727777609,2024-10-01T10:13:29Z,KLM835,"0.984533,104.139549",10125,288,112
1727777624,2024-10-01T10:13:44Z,KLM835,"0.976547,104.158302",10650,297,113
1727777639,2024-10-01T10:13:59Z,KLM835,"0.968124,104.178322",11000,317,112
1727777651,2024-10-01T10:14:11Z,KLM835,"0.961029,104.195175",11250,332,112
