Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1727766228,2024-10-01T07:03:48Z,CXA866,"1.363783,103.99868",0,10,135
1727766236,2024-10-01T07:03:56Z,CXA866,"1.363449,103.998779",0,9,168
1727766249,2024-10-01T07:04:09Z,CXA866,"1.362956,103.99884",0,8,174
1727766336,2024-10-01T07:05:36Z,CXA866,"1.354158,103.995682",175,105,202
1727766353,2024-10-01T07:05:53Z,CXA866,"1.344056,103.991417",175,123,202
1727766363,2024-10-01T07:06:03Z,CXA866,"1.335571,103.987968",475,174,201
1727766372,2024-10-01T07:06:12Z,CXA866,"1.328834,103.985359",825,176,201
1727766381,2024-10-01T07:06:21Z,CXA866,"1.32199,103.982468",1200,176,203
1727766390,2024-10-01T07:06:30Z,CXA866,"1.314972,103.979637",1575,176,201
1727766399,2024-10-01T07:06:39Z,CXA866,"1.308304,103.976929",1925,176,202
1727766408,2024-10-01T07:06:48Z,CXA866,"1.301468,103.973961",2300,172,203
1727766418,2024-10-01T07:06:58Z,CXA866,"1.294897,103.971054",2650,170,203
1727766426,2024-10-01T07:07:06Z,CXA866,"1.288376,103.968231",2950,171,203
1727766436,2024-10-01T07:07:16Z,CXA866,"1.281326,103.965111",3125,179,203
1727766445,2024-10-01T07:07:25Z,CXA866,"1.274414,103.962044",3250,191,203
1727766454,2024-10-01T07:07:34Z,CXA866,"1.266586,103.958641",3400,203,203
1727766463,2024-10-01T07:07:43Z,CXA866,"1.258347,103.955101",3600,214,203
1727766472,2024-10-01T07:07:52Z,CXA866,"1.249649,103.951797",3725,227,199
1727766475,2024-10-01T07:07:55Z,CXA866,"1.246674,103.951004",3750,232,195
1727766478,2024-10-01T07:07:58Z,CXA866,"1.243286,103.950493",3850,236,190
1727766481,2024-10-01T07:08:01Z,CXA866,"1.239733,103.950317",3950,239,183
1727766484,2024-10-01T07:08:04Z,CXA866,"1.236474,103.950363",4050,241,179
1727766487,2024-10-01T07:08:07Z,CXA866,"1.232983,103.950699",4150,243,174
1727766490,2024-10-01T07:08:10Z,CXA866,"1.229631,103.951309",4225,247,170
1727766493,2024-10-01T07:08:13Z,CXA866,"1.225953,103.952209",4300,251,165
1727766496,2024-10-01T07:08:16Z,CXA866,"1.222778,103.953339",4350,255,161
1727766499,2024-10-01T07:08:19Z,CXA866,"1.219208,103.954918",4400,259,156
1727766502,2024-10-01T07:08:22Z,CXA866,"1.216095,103.956642",4450,262,153
1727766505,2024-10-01T07:08:25Z,CXA866,"1.212825,103.958939",4525,267,145
1727766508,2024-10-01T07:08:28Z,CXA866,"1.209915,103.961342",4600,270,140
1727766511,2024-10-01T07:08:31Z,CXA866,"1.207472,103.963623",4700,272,137
1727766514,2024-10-01T07:08:34Z,CXA866,"1.204651,103.966324",4825,273,136
1727766517,2024-10-01T07:08:37Z,CXA866,"1.201675,103.969162",4950,275,136
1727766520,2024-10-01T07:08:40Z,CXA866,"1.19902,103.971626",5075,275,137
1727766523,2024-10-01T07:08:43Z,CXA866,"1.19602,103.974327",5200,276,137
1727766526,2024-10-01T07:08:46Z,CXA866,"1.193274,103.976692",5325,276,138
1727766529,2024-10-01T07:08:49Z,CXA866,"1.190061,103.979485",5450,277,138
1727766532,2024-10-01T07:08:52Z,CXA866,"1.187119,103.98201",5600,278,139
1727766547,2024-10-01T07:09:07Z,CXA866,"1.172884,103.995163",6050,280,132
1727766550,2024-10-01T07:09:10Z,CXA866,"1.170364,103.998444",6100,281,127
1727766553,2024-10-01T07:09:13Z,CXA866,"1.168554,104.00132",6125,281,122
1727766556,2024-10-01T07:09:16Z,CXA866,"1.166459,104.005203",6125,281,118
1727766559,2024-10-01T07:09:19Z,CXA866,"1.164963,104.008919",6125,281,113
1727766562,2024-10-01T07:09:22Z,CXA866,"1.163852,104.012497",6125,282,108
1727766565,2024-10-01T07:09:25Z,CXA866,"1.163015,104.016281",6125,282,103
1727766568,2024-10-01T07:09:28Z,CXA866,"1.162503,104.020256",6125,282,97
1727766572,2024-10-01T07:09:32Z,CXA866,"1.162363,104.024239",6125,282,92
1727766575,2024-10-01T07:09:35Z,CXA866,"1.162549,104.028259",6125,283,87
1727766578,2024-10-01T07:09:38Z,CXA866,"1.163177,104.032333",6125,283,82
1727766581,2024-10-01T07:09:41Z,CXA866,"1.164093,104.036148",6125,283,77
1727766584,2024-10-01T07:09:44Z,CXA866,"1.165389,104.039864",6125,283,72
1727766587,2024-10-01T07:09:47Z,CXA866,"1.167023,104.043411",6125,282,66
1727766589,2024-10-01T07:09:49Z,CXA866,"1.168787,104.046494",6125,282,61
1727766593,2024-10-01T07:09:53Z,CXA866,"1.171326,104.050117",6125,282,56
1727766596,2024-10-01T07:09:56Z,CXA866,"1.173615,104.052864",6125,282,51
1727766598,2024-10-01T07:09:58Z,CXA866,"1.176375,104.055588",6125,282,46
1727766602,2024-10-01T07:10:02Z,CXA866,"1.179474,104.058121",6125,281,39
1727766605,2024-10-01T07:10:05Z,CXA866,"1.182724,104.06031",6125,281,34
1727766608,2024-10-01T07:10:08Z,CXA866,"1.186386,104.062363",6125,282,29
1727766611,2024-10-01T07:10:11Z,CXA866,"1.190201,104.063919",6125,281,24
1727766614,2024-10-01T07:10:14Z,CXA866,"1.193756,104.065063",6125,281,19
1727766616,2024-10-01T07:10:16Z,CXA866,"1.197144,104.065895",6125,282,13
1727766620,2024-10-01T07:10:20Z,CXA866,"1.201513,104.066429",6125,279,9
1727766623,2024-10-01T07:10:23Z,CXA866,"1.205005,104.06662",6125,280,3
1727766626,2024-10-01T07:10:26Z,CXA866,"1.209137,104.066315",6100,279,358
1727766629,2024-10-01T07:10:29Z,CXA866,"1.212936,104.065849",6100,278,353
1727766632,2024-10-01T07:10:32Z,CXA866,"1.216599,104.064919",6100,278,346
1727766635,2024-10-01T07:10:35Z,CXA866,"1.22049,104.063713",6100,278,344
1727766638,2024-10-01T07:10:38Z,CXA866,"1.224417,104.062408",6125,278,341
1727766641,2024-10-01T07:10:41Z,CXA866,"1.228134,104.061058",6200,279,340
1727766644,2024-10-01T07:10:44Z,CXA866,"1.231819,104.059753",6250,280,340
1727766647,2024-10-01T07:10:47Z,CXA866,"1.235543,104.058426",6325,280,340
1727766650,2024-10-01T07:10:50Z,CXA866,"1.239407,104.057007",6400,281,340
1727766652,2024-10-01T07:10:52Z,CXA866,"1.241874,104.056107",6450,281,340
1727766656,2024-10-01T07:10:56Z,CXA866,"1.246483,104.054497",6550,282,340
1727766668,2024-10-01T07:11:08Z,CXA866,"1.261798,104.049004",6850,285,340
1727766683,2024-10-01T07:11:23Z,CXA866,"1.28028,104.042374",7200,284,340
1727766698,2024-10-01T07:11:38Z,CXA866,"1.299316,104.035591",7550,286,340
