Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1727765704,2024-10-01T06:55:04Z,CXA8704,"1.363712,103.998688",0,12,143
1727765708,2024-10-01T06:55:08Z,CXA8704,"1.363461,103.998772",0,12,165
1727765717,2024-10-01T06:55:17Z,CXA8704,"1.363014,103.998825",0,11,174
1727765763,2024-10-01T06:56:03Z,CXA8704,"1.359421,103.99791",0,0,202
1727765792,2024-10-01T06:56:32Z,CXA8704,"1.344681,103.991692",0,0,203
1727765798,2024-10-01T06:56:38Z,CXA8704,"1.33996,103.98967",375,166,203
1727765807,2024-10-01T06:56:47Z,CXA8704,"1.333675,103.987114",700,168,202
1727765816,2024-10-01T06:56:56Z,CXA8704,"1.327148,103.984482",1050,170,202
1727765825,2024-10-01T06:57:05Z,CXA8704,"1.32064,103.981758",1375,173,202
1727765834,2024-10-01T06:57:14Z,CXA8704,"1.313192,103.978638",1625,183,203
1727765843,2024-10-01T06:57:23Z,CXA8704,"1.306023,103.975418",1800,195,204
1727765852,2024-10-01T06:57:32Z,CXA8704,"1.297923,103.971863",1925,209,203
1727765862,2024-10-01T06:57:42Z,CXA8704,"1.289337,103.968094",2125,220,203
1727765871,2024-10-01T06:57:51Z,CXA8704,"1.280326,103.964241",2325,232,203
1727765880,2024-10-01T06:58:00Z,CXA8704,"1.271255,103.960411",2625,237,202
1727765889,2024-10-01T06:58:09Z,CXA8704,"1.261659,103.956429",2900,248,202
1727765898,2024-10-01T06:58:18Z,CXA8704,"1.251938,103.952728",3100,256,200
1727765901,2024-10-01T06:58:21Z,CXA8704,"1.248322,103.951752",3200,258,196
1727765904,2024-10-01T06:58:24Z,CXA8704,"1.244476,103.951004",3325,260,191
1727765907,2024-10-01T06:58:27Z,CXA8704,"1.241226,103.950592",3425,262,187
1727765910,2024-10-01T06:58:30Z,CXA8704,"1.237427,103.950493",3550,263,182
1727765913,2024-10-01T06:58:33Z,CXA8704,"1.233719,103.950775",3675,265,177
1727765916,2024-10-01T06:58:36Z,CXA8704,"1.229782,103.951332",3800,266,172
1727765919,2024-10-01T06:58:39Z,CXA8704,"1.226279,103.952164",3900,267,167
1727765922,2024-10-01T06:58:42Z,CXA8704,"1.222462,103.953445",4025,270,161
1727765925,2024-10-01T06:58:45Z,CXA8704,"1.218784,103.955055",4150,270,157
1727765928,2024-10-01T06:58:48Z,CXA8704,"1.215912,103.956642",4275,272,152
1727765931,2024-10-01T06:58:51Z,CXA8704,"1.212753,103.958733",4400,273,147
1727765934,2024-10-01T06:58:54Z,CXA8704,"1.20952,103.961304",4525,274,141
1727765937,2024-10-01T06:58:57Z,CXA8704,"1.206482,103.96418",4650,275,136
1727765940,2024-10-01T06:59:00Z,CXA8704,"1.20412,103.966934",4750,276,131
1727765943,2024-10-01T06:59:03Z,CXA8704,"1.201839,103.970062",4875,277,126
1727765946,2024-10-01T06:59:06Z,CXA8704,"1.199791,103.973564",5000,278,120
1727765949,2024-10-01T06:59:09Z,CXA8704,"1.198255,103.976837",5125,278,117
1727765952,2024-10-01T06:59:12Z,CXA8704,"1.196915,103.980339",5225,278,111
1727765955,2024-10-01T06:59:15Z,CXA8704,"1.19577,103.984245",5325,279,106
1727765958,2024-10-01T06:59:18Z,CXA8704,"1.194946,103.988159",5375,279,101
1727765961,2024-10-01T06:59:21Z,CXA8704,"1.194484,103.992271",5425,278,96
1727765964,2024-10-01T06:59:24Z,CXA8704,"1.194397,103.995979",5475,279,92
1727765967,2024-10-01T06:59:27Z,CXA8704,"1.19467,104.000084",5525,278,86
1727765971,2024-10-01T06:59:31Z,CXA8704,"1.195267,104.003845",5575,278,81
1727765973,2024-10-01T06:59:33Z,CXA8704,"1.196206,104.007614",5625,278,76
1727765977,2024-10-01T06:59:37Z,CXA8704,"1.197556,104.011574",5675,277,71
1727765980,2024-10-01T06:59:40Z,CXA8704,"1.199158,104.015106",5700,277,66
1727765982,2024-10-01T06:59:42Z,CXA8704,"1.201035,104.018372",5750,277,61
1727765986,2024-10-01T06:59:46Z,CXA8704,"1.203329,104.021774",5800,277,56
1727765988,2024-10-01T06:59:48Z,CXA8704,"1.205424,104.02433",5850,278,51
1727765991,2024-10-01T06:59:51Z,CXA8704,"1.20813,104.027168",5875,278,46
1727765994,2024-10-01T06:59:54Z,CXA8704,"1.211243,104.029869",5925,279,41
1727765998,2024-10-01T06:59:58Z,CXA8704,"1.214734,104.032433",5975,280,36
1727766000,2024-10-01T07:00:00Z,CXA8704,"1.217807,104.034225",6025,280,31
1727766004,2024-10-01T07:00:04Z,CXA8704,"1.221717,104.036125",6075,281,26
1727766007,2024-10-01T07:00:07Z,CXA8704,"1.225296,104.037498",6125,282,21
1727766010,2024-10-01T07:00:10Z,CXA8704,"1.228932,104.038536",6150,284,16
1727766013,2024-10-01T07:00:13Z,CXA8704,"1.233307,104.039314",6200,285,11
1727766016,2024-10-01T07:00:16Z,CXA8704,"1.237405,104.039772",6275,287,5
1727766019,2024-10-01T07:00:19Z,CXA8704,"1.241501,104.03997",6375,288,3
1727766022,2024-10-01T07:00:22Z,CXA8704,"1.245319,104.040054",6475,290,1
1727766025,2024-10-01T07:00:25Z,CXA8704,"1.249276,104.040146",6625,288,1
1727766028,2024-10-01T07:00:28Z,CXA8704,"1.253512,104.040199",6800,286,1
1727766031,2024-10-01T07:00:31Z,CXA8704,"1.257202,104.040199",6950,286,1
1727766034,2024-10-01T07:00:34Z,CXA8704,"1.261414,104.040154",7100,285,359
1727766037,2024-10-01T07:00:37Z,CXA8704,"1.265305,104.040154",7250,286,359
1727766040,2024-10-01T07:00:40Z,CXA8704,"1.269562,104.040154",7400,285,359
1727766043,2024-10-01T07:00:43Z,CXA8704,"1.273157,104.040146",7525,284,359
1727766057,2024-10-01T07:00:57Z,CXA8704,"1.292679,104.040016",8100,287,359
1727766073,2024-10-01T07:01:13Z,CXA8704,"1.313937,104.039864",8775,288,358
1727766088,2024-10-01T07:01:28Z,CXA8704,"1.334427,104.037689",9275,294,350
1727766103,2024-10-01T07:01:43Z,CXA8704,"1.354624,104.034325",9775,298,350
1727766118,2024-10-01T07:01:58Z,CXA8704,"1.375386,104.031151",10325,303,351
1727766134,2024-10-01T07:02:14Z,CXA8704,"1.397644,104.027725",10600,317,351
1727766149,2024-10-01T07:02:29Z,CXA8704,"1.42012,104.024185",10850,332,350
1727766164,2024-10-01T07:02:44Z,CXA8704,"1.443492,104.020546",11275,342,350
1727766179,2024-10-01T07:02:59Z,CXA8704,"1.46742,104.016754",11875,342,350
1727766194,2024-10-01T07:03:14Z,CXA8704,"1.491254,104.013016",12375,348,350
1727766224,2024-10-01T07:03:44Z,CXA8704,"1.540146,104.005241",13450,356,350
1727766257,2024-10-01T07:04:17Z,CXA8704,"1.595159,103.99649",14825,362,350
1727766291,2024-10-01T07:04:51Z,CXA8704,"1.651441,103.987534",16050,370,350
1727766324,2024-10-01T07:05:24Z,CXA8704,"1.708374,103.978706",17175,379,351
1727766354,2024-10-01T07:05:54Z,CXA8704,"1.761795,103.97023",18275,384,350
1727766387,2024-10-01T07:06:27Z,CXA8704,"1.820798,103.960922",19425,388,350
1727766420,2024-10-01T07:07:00Z,CXA8704,"1.880478,103.951546",20375,399,350
1727766454,2024-10-01T07:07:34Z,CXA8704,"1.942291,103.941833",21250,410,351
1727766487,2024-10-01T07:08:07Z,CXA8704,"2.005703,103.931892",22175,416,351
1727766520,2024-10-01T07:08:40Z,CXA8704,"2.069573,103.922043",23150,419,352
1727766553,2024-10-01T07:09:13Z,CXA8704,"2.133489,103.91906",24075,420,357
1727766586,2024-10-01T07:09:46Z,CXA8704,"2.198044,103.916466",24925,424,357
1727766620,2024-10-01T07:10:20Z,CXA8704,"2.265518,103.914047",25625,434,357
1727766653,2024-10-01T07:10:53Z,CXA8704,"2.333059,103.911293",26250,443,357
1727766683,2024-10-01T07:11:23Z,CXA8704,"2.395299,103.909546",26725,450,358
1727766716,2024-10-01T07:11:56Z,CXA8704,"2.466614,103.90799",26950,466,358
1727766728,2024-10-01T07:12:08Z,CXA8704,"2.491476,103.910728",27000,469,8
1727766731,2024-10-01T07:12:11Z,CXA8704,"2.498703,103.911812",27025,470,8
1727766734,2024-10-01T07:12:14Z,CXA8704,"2.504883,103.91272",27050,472,8
1727766738,2024-10-01T07:12:18Z,CXA8704,"2.512424,103.913803",27125,472,8
1727766741,2024-10-01T07:12:21Z,CXA8704,"2.519128,103.914803",27200,473,8
