Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1727765898,2024-10-01T06:58:18Z,AWQ265,"1.341202,103.990204",375,162,202
1727765907,2024-10-01T06:58:27Z,AWQ265,"1.334792,103.987488",675,162,202
1727765916,2024-10-01T06:58:36Z,AWQ265,"1.328228,103.984741",1050,163,202
1727765925,2024-10-01T06:58:45Z,AWQ265,"1.321804,103.982094",1275,169,202
1727765931,2024-10-01T06:58:51Z,AWQ265,"1.317475,103.980293",1400,178,202
1727765940,2024-10-01T06:59:00Z,AWQ265,"1.310027,103.977119",1575,190,202
1727765949,2024-10-01T06:59:09Z,AWQ265,"1.302246,103.973862",1700,202,203
1727765958,2024-10-01T06:59:18Z,AWQ265,"1.293919,103.970345",1800,222,202
1727765967,2024-10-01T06:59:27Z,AWQ265,"1.28508,103.966553",2025,235,203
1727765977,2024-10-01T06:59:37Z,AWQ265,"1.275438,103.962395",2375,244,203
1727765986,2024-10-01T06:59:46Z,AWQ265,"1.266129,103.958412",2825,245,203
1727765994,2024-10-01T06:59:54Z,AWQ265,"1.256864,103.954529",3350,243,202
1727766003,2024-10-01T07:00:03Z,AWQ265,"1.24736,103.950539",3850,244,202
1727766012,2024-10-01T07:00:12Z,AWQ265,"1.237638,103.947052",4225,249,195
1727766016,2024-10-01T07:00:16Z,AWQ265,"1.233673,103.946259",4350,252,190
1727766019,2024-10-01T07:00:19Z,AWQ265,"1.230329,103.945915",4450,255,185
1727766022,2024-10-01T07:00:22Z,AWQ265,"1.226669,103.945885",4575,257,179
1727766024,2024-10-01T07:00:24Z,AWQ265,"1.224106,103.946075",4650,258,173
1727766028,2024-10-01T07:00:28Z,AWQ265,"1.219894,103.94677",4825,260,168
1727766030,2024-10-01T07:00:30Z,AWQ265,"1.21641,103.947807",4950,260,162
1727766034,2024-10-01T07:00:34Z,AWQ265,"1.212845,103.949242",5075,262,156
1727766037,2024-10-01T07:00:37Z,AWQ265,"1.209229,103.951149",5250,261,150
1727766040,2024-10-01T07:00:40Z,AWQ265,"1.20639,103.953056",5375,262,145
1727766043,2024-10-01T07:00:43Z,AWQ265,"1.203422,103.955475",5500,264,139
1727766046,2024-10-01T07:00:46Z,AWQ265,"1.20076,103.95813",5600,265,134
1727766049,2024-10-01T07:00:49Z,AWQ265,"1.198334,103.96106",5750,264,128
1727766052,2024-10-01T07:00:52Z,AWQ265,"1.196503,103.963623",5875,262,124
1727766055,2024-10-01T07:00:55Z,AWQ265,"1.194298,103.966988",6075,259,121
1727766058,2024-10-01T07:00:58Z,AWQ265,"1.192389,103.970207",6225,258,120
1727766061,2024-10-01T07:01:01Z,AWQ265,"1.190806,103.972908",6350,260,120
1727766064,2024-10-01T07:01:04Z,AWQ265,"1.188711,103.976501",6500,261,119
1727766067,2024-10-01T07:01:07Z,AWQ265,"1.187175,103.979156",6600,264,119
1727766070,2024-10-01T07:01:10Z,AWQ265,"1.185471,103.982246",6725,263,119
1727766073,2024-10-01T07:01:13Z,AWQ265,"1.183365,103.986015",6875,266,118
1727766076,2024-10-01T07:01:16Z,AWQ265,"1.181542,103.989243",6975,266,118
1727766091,2024-10-01T07:01:31Z,AWQ265,"1.172333,104.005707",7325,271,119
1727766106,2024-10-01T07:01:46Z,AWQ265,"1.163154,104.02211",7900,269,119
1727766122,2024-10-01T07:02:02Z,AWQ265,"1.153793,104.038666",8600,271,119
1727766137,2024-10-01T07:02:17Z,AWQ265,"1.144207,104.055206",9325,272,119
1727766152,2024-10-01T07:02:32Z,AWQ265,"1.134705,104.071762",10075,271,119
1727766167,2024-10-01T07:02:47Z,AWQ265,"1.125261,104.088165",10800,270,119
1727766182,2024-10-01T07:03:02Z,AWQ265,"1.116119,104.104301",11575,266,119
1727766197,2024-10-01T07:03:17Z,AWQ265,"1.106735,104.120552",12100,271,119
1727766230,2024-10-01T07:03:50Z,AWQ265,"1.084295,104.158485",12825,300,120
1727766252,2024-10-01T07:04:12Z,AWQ265,"1.066956,104.184143",13100,325,130
1727766255,2024-10-01T07:04:15Z,AWQ265,"1.064044,104.187469",13125,328,131
1727766257,2024-10-01T07:04:17Z,AWQ265,"1.061234,104.190659",13175,332,131
1727766260,2024-10-01T07:04:20Z,AWQ265,"1.058226,104.194008",13225,335,131
1727766264,2024-10-01T07:04:24Z,AWQ265,"1.054779,104.197876",13275,338,131
1727766266,2024-10-01T07:04:26Z,AWQ265,"1.051662,104.201347",13325,341,131
1727766270,2024-10-01T07:04:30Z,AWQ265,"1.048187,104.205185",13375,343,131
1727766303,2024-10-01T07:05:03Z,AWQ265,"1.012139,104.245338",14550,351,131
1727766335,2024-10-01T07:05:35Z,AWQ265,"0.976456,104.284927",15725,355,131
1727766369,2024-10-01T07:06:09Z,AWQ265,"0.93837,104.327385",16625,367,131
1727766403,2024-10-01T07:06:43Z,AWQ265,"0.9006,104.369453",18150,356,131
1727766436,2024-10-01T07:07:16Z,AWQ265,"0.864258,104.40992",19200,356,131
1727766469,2024-10-01T07:07:49Z,AWQ265,"0.826675,104.451813",19975,368,131
1727766500,2024-10-01T07:08:20Z,AWQ265,"0.791295,104.491158",20925,370,131
1727766533,2024-10-01T07:08:53Z,AWQ265,"0.753479,104.533379",21775,372,131
1727766555,2024-10-01T07:09:15Z,AWQ265,"0.727379,104.559441",22200,380,141
1727766558,2024-10-01T07:09:18Z,AWQ265,"0.723038,104.562561",22250,380,144
1727766561,2024-10-01T07:09:21Z,AWQ265,"0.718487,104.565506",22325,382,147
1727766564,2024-10-01T07:09:24Z,AWQ265,"0.713134,104.568535",22375,386,149
1727766567,2024-10-01T07:09:27Z,AWQ265,"0.708199,104.570946",22425,386,154
1727766570,2024-10-01T07:09:30Z,AWQ265,"0.703903,104.572762",22475,389,157
1727766571,2024-10-01T07:09:31Z,AWQ265,"0.701248,104.573738",22500,389,158
1727766575,2024-10-01T07:09:35Z,AWQ265,"0.694107,104.576157",22600,390,160
1727766576,2024-10-01T07:09:36Z,AWQ265,"0.692558,104.57663",22625,391,162
1727766580,2024-10-01T07:09:40Z,AWQ265,"0.685528,104.578812",22725,392,162
1727766583,2024-10-01T07:09:43Z,AWQ265,"0.680466,104.580345",22825,391,163
1727766587,2024-10-01T07:09:47Z,AWQ265,"0.674356,104.582169",22925,392,163
1727766590,2024-10-01T07:09:50Z,AWQ265,"0.669067,104.583748",23000,392,163
1727766592,2024-10-01T07:09:52Z,AWQ265,"0.665543,104.584816",23075,391,163
1727766626,2024-10-01T07:10:26Z,AWQ265,"0.606354,104.602463",23800,396,163
1727766658,2024-10-01T07:10:58Z,AWQ265,"0.54806,104.619865",24600,400,163
1727766692,2024-10-01T07:11:32Z,AWQ265,"0.486657,104.638191",25125,409,163
1727766724,2024-10-01T07:12:04Z,AWQ265,"0.42842,104.655525",25750,416,163
1727766758,2024-10-01T07:12:38Z,AWQ265,"0.365479,104.674103",26375,420,163
1727766789,2024-10-01T07:13:09Z,AWQ265,"0.306793,104.691559",26825,426,163
1727766819,2024-10-01T07:13:39Z,AWQ265,"0.249435,104.708549",27300,433,163
1727766851,2024-10-01T07:14:11Z,AWQ265,"0.186676,104.727173",27850,435,163
1727766884,2024-10-01T07:14:44Z,AWQ265,"0.123038,104.746017",28550,433,163
1727766915,2024-10-01T07:15:15Z,AWQ265,"0.062759,104.763947",28850,441,163
1727766949,2024-10-01T07:15:49Z,AWQ265,"-0.003259,104.783524",29500,441,163
1727766982,2024-10-01T07:16:22Z,AWQ265,"-0.068893,104.803055",29850,448,163
1727767012,2024-10-01T07:16:52Z,AWQ265,"-0.128769,104.820885",30425,448,163
1727767045,2024-10-01T07:17:25Z,AWQ265,"-0.194356,104.840401",30900,452,163
1727767075,2024-10-01T07:17:55Z,AWQ265,"-0.255295,104.861893",31300,453,157
1727767109,2024-10-01T07:18:29Z,AWQ265,"-0.31879,104.893059",31800,453,150
1727767139,2024-10-01T07:18:59Z,AWQ265,"-0.371813,104.926819",32275,452,145
1727767171,2024-10-01T07:19:31Z,AWQ265,"-0.427117,104.964134",32875,450,145
1727767204,2024-10-01T07:20:04Z,AWQ265,"-0.484634,105.003044",33400,450,145
1727767235,2024-10-01T07:20:35Z,AWQ265,"-0.538842,105.039665",33850,452,145
1727767268,2024-10-01T07:21:08Z,AWQ265,"-0.59652,105.078735",34450,449,145
1727767298,2024-10-01T07:21:38Z,AWQ265,"-0.648799,105.114059",34925,448,145
1727767329,2024-10-01T07:22:09Z,AWQ265,"-0.700984,105.149292",35025,439,145
1727767363,2024-10-01T07:22:43Z,AWQ265,"-0.757451,105.187553",35000,435,145
1727767393,2024-10-01T07:23:13Z,AWQ265,"-0.80896,105.222488",35000,436,145
1727767427,2024-10-01T07:23:47Z,AWQ265,"-0.86522,105.260529",35000,438,145
1727767458,2024-10-01T07:24:18Z,AWQ265,"-0.917725,105.296043",35000,439,145
1727767491,2024-10-01T07:24:51Z,AWQ265,"-0.973801,105.333984",35025,439,145
1727767522,2024-10-01T07:25:22Z,AWQ265,"-1.02643,105.369637",35025,439,145
1727767553,2024-10-01T07:25:53Z,AWQ265,"-1.078583,105.40493",35025,438,145
1727767584,2024-10-01T07:26:24Z,AWQ265,"-1.130568,105.440102",35025,436,145
1727767617,2024-10-01T07:26:57Z,AWQ265,"-1.186295,105.477875",35000,435,145
1727767648,2024-10-01T07:27:28Z,AWQ265,"-1.237564,105.512558",35000,434,145
1727767682,2024-10-01T07:28:02Z,AWQ265,"-1.294385,105.551003",35025,433,145
