Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1727767958,2024-10-01T07:32:38Z,SIA194,"1.333954,103.98716",450,179,202
1727767964,2024-10-01T07:32:44Z,SIA194,"1.329712,103.985458",600,184,201
1727767973,2024-10-01T07:32:53Z,SIA194,"1.322084,103.982422",925,186,202
1727767982,2024-10-01T07:33:02Z,SIA194,"1.314775,103.979347",1225,190,202
1727767991,2024-10-01T07:33:11Z,SIA194,"1.30742,103.976501",1525,190,199
1727767994,2024-10-01T07:33:14Z,SIA194,"1.30481,103.975868",1625,191,193
1727767997,2024-10-01T07:33:17Z,SIA194,"1.302159,103.975601",1725,193,185
1727768000,2024-10-01T07:33:20Z,SIA194,"1.299271,103.975723",1825,192,174
1727768003,2024-10-01T07:33:23Z,SIA194,"1.296666,103.976311",1925,192,165
1727768006,2024-10-01T07:33:26Z,SIA194,"1.294618,103.977028",2025,192,159
1727768009,2024-10-01T07:33:29Z,SIA194,"1.291855,103.978424",2150,192,149
1727768012,2024-10-01T07:33:32Z,SIA194,"1.289795,103.979965",2275,192,144
1727768015,2024-10-01T07:33:35Z,SIA194,"1.287735,103.981873",2375,194,134
1727768018,2024-10-01T07:33:38Z,SIA194,"1.285904,103.984108",2475,194,127
1727768021,2024-10-01T07:33:41Z,SIA194,"1.284485,103.986343",2575,196,121
1727768024,2024-10-01T07:33:44Z,SIA194,"1.283295,103.98867",2650,197,116
1727768027,2024-10-01T07:33:47Z,SIA194,"1.282188,103.991417",2750,197,111
1727768030,2024-10-01T07:33:50Z,SIA194,"1.281235,103.993973",2850,199,109
1727768033,2024-10-01T07:33:53Z,SIA194,"1.280326,103.996628",2925,202,109
1727768036,2024-10-01T07:33:56Z,SIA194,"1.279449,103.999283",2975,204,108
1727768039,2024-10-01T07:33:59Z,SIA194,"1.278534,104.002029",3050,207,108
1727768042,2024-10-01T07:34:02Z,SIA194,"1.277573,104.004868",3100,210,108
1727768045,2024-10-01T07:34:05Z,SIA194,"1.276657,104.007568",3150,213,108
1727768048,2024-10-01T07:34:08Z,SIA194,"1.275671,104.010597",3200,216,108
1727768051,2024-10-01T07:34:11Z,SIA194,"1.27478,104.013344",3250,220,108
1727768054,2024-10-01T07:34:14Z,SIA194,"1.273773,104.016319",3325,222,108
1727768064,2024-10-01T07:34:24Z,SIA194,"1.270706,104.025444",3475,232,107
