Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1727614078,2024-09-29T12:47:58Z,THA410,"1.363503,103.991135",0,0,22
1727614595,2024-09-29T12:56:35Z,THA410,"1.362921,103.998863",0,8,171
1727614622,2024-09-29T12:57:02Z,THA410,"1.362076,103.998993",0,0,171
1727614634,2024-09-29T12:57:14Z,THA410,"1.361781,103.99894",0,0,188
1727614661,2024-09-29T12:57:41Z,THA410,"1.36,103.998154",0,0,202
1727614675,2024-09-29T12:57:55Z,THA410,"1.354577,103.995872",0,0,202
1727614691,2024-09-29T12:58:11Z,THA410,"1.345047,103.991837",175,138,203
1727614700,2024-09-29T12:58:20Z,THA410,"1.338423,103.989052",450,170,202
1727614709,2024-09-29T12:58:29Z,THA410,"1.331534,103.986115",825,174,203
1727614718,2024-09-29T12:58:38Z,THA410,"1.325089,103.983406",1225,173,203
1727614727,2024-09-29T12:58:47Z,THA410,"1.31813,103.980476",1650,174,203
1727614733,2024-09-29T12:58:53Z,THA410,"1.313599,103.978523",1925,175,203
1727614742,2024-09-29T12:59:02Z,THA410,"1.306768,103.975655",2300,176,202
1727614751,2024-09-29T12:59:11Z,THA410,"1.299878,103.972763",2700,178,202
1727614760,2024-09-29T12:59:20Z,THA410,"1.292895,103.969826",3125,180,202
1727614769,2024-09-29T12:59:29Z,THA410,"1.285675,103.966789",3525,182,203
1727614778,2024-09-29T12:59:38Z,THA410,"1.278076,103.964043",3750,193,196
1727614781,2024-09-29T12:59:41Z,THA410,"1.275671,103.963623",3800,197,191
1727614784,2024-09-29T12:59:44Z,THA410,"1.272537,103.963341",3850,203,184
1727614787,2024-09-29T12:59:47Z,THA410,"1.270178,103.963432",3900,208,180
1727614790,2024-09-29T12:59:50Z,THA410,"1.266815,103.963905",3950,215,171
1727614793,2024-09-29T12:59:53Z,THA410,"1.263847,103.964714",4025,220,165
1727614796,2024-09-29T12:59:56Z,THA410,"1.260727,103.96595",4075,226,158
1727614799,2024-09-29T12:59:59Z,THA410,"1.258072,103.967392",4125,231,152
1727614802,2024-09-29T13:00:02Z,THA410,"1.255234,103.969254",4200,236,146
1727614805,2024-09-29T13:00:05Z,THA410,"1.252579,103.971535",4250,241,140
1727614808,2024-09-29T13:00:08Z,THA410,"1.250198,103.974098",4325,245,134
1727614812,2024-09-29T13:00:12Z,THA410,"1.24791,103.977173",4425,250,128
1727614815,2024-09-29T13:00:15Z,THA410,"1.24617,103.979965",4475,253,122
1727614818,2024-09-29T13:00:18Z,THA410,"1.244568,103.983315",4550,258,116
1727614824,2024-09-29T13:00:24Z,THA410,"1.242554,103.990158",4725,264,105
1727614827,2024-09-29T13:00:27Z,THA410,"1.24205,103.993599",4825,267,100
1727614829,2024-09-29T13:00:29Z,THA410,"1.241688,103.997337",4925,269,96
1727614833,2024-09-29T13:00:33Z,THA410,"1.241455,104.001373",5000,271,94
1727614835,2024-09-29T13:00:35Z,THA410,"1.241318,104.005058",5075,273,92
1727614838,2024-09-29T13:00:38Z,THA410,"1.241269,104.00795",5125,274,91
1727614842,2024-09-29T13:00:42Z,THA410,"1.241269,104.012917",5225,275,90
1727614845,2024-09-29T13:00:45Z,THA410,"1.241408,104.016853",5275,274,88
1727614848,2024-09-29T13:00:48Z,THA410,"1.241781,104.020401",5325,273,85
1727614851,2024-09-29T13:00:51Z,THA410,"1.242572,104.024666",5400,272,79
1727614854,2024-09-29T13:00:54Z,THA410,"1.243607,104.028282",5475,270,74
1727614857,2024-09-29T13:00:57Z,THA410,"1.244705,104.031357",5550,269,71
1727614860,2024-09-29T13:01:00Z,THA410,"1.246445,104.034897",5625,268,65
1727614863,2024-09-29T13:01:03Z,THA410,"1.248391,104.038109",5725,269,58
1727614866,2024-09-29T13:01:06Z,THA410,"1.250931,104.041321",5825,269,54
1727614869,2024-09-29T13:01:09Z,THA410,"1.253652,104.044319",5925,271,47
1727614872,2024-09-29T13:01:12Z,THA410,"1.256424,104.046768",6025,271,41
1727614875,2024-09-29T13:01:15Z,THA410,"1.258866,104.048622",6100,272,38
1727614878,2024-09-29T13:01:18Z,THA410,"1.262916,104.051041",6225,272,30
1727614881,2024-09-29T13:01:21Z,THA410,"1.266632,104.052818",6325,273,25
1727614884,2024-09-29T13:01:24Z,THA410,"1.270364,104.054169",6425,275,20
1727614887,2024-09-29T13:01:27Z,THA410,"1.274042,104.055115",6525,276,14
1727614890,2024-09-29T13:01:30Z,THA410,"1.278122,104.055748",6625,276,8
1727614893,2024-09-29T13:01:33Z,THA410,"1.28215,104.05603",6725,278,3
1727614896,2024-09-29T13:01:36Z,THA410,"1.28595,104.055939",6775,281,358
1727614899,2024-09-29T13:01:39Z,THA410,"1.289749,104.055519",6850,282,354
1727614902,2024-09-29T13:01:42Z,THA410,"1.293411,104.054863",6925,283,351
1727614906,2024-09-29T13:01:46Z,THA410,"1.297551,104.053978",6975,284,347
1727614908,2024-09-29T13:01:48Z,THA410,"1.301651,104.05291",7050,284,345
1727614912,2024-09-29T13:01:52Z,THA410,"1.305977,104.051704",7125,284,344
1727614915,2024-09-29T13:01:55Z,THA410,"1.309421,104.050758",7175,284,344
1727614918,2024-09-29T13:01:58Z,THA410,"1.312959,104.049759",7225,284,344
1727614920,2024-09-29T13:02:00Z,THA410,"1.316803,104.048767",7275,284,344
1727614924,2024-09-29T13:02:04Z,THA410,"1.320873,104.047676",7325,284,345
1727614926,2024-09-29T13:02:06Z,THA410,"1.324365,104.046776",7375,284,345
1727614942,2024-09-29T13:02:22Z,THA410,"1.343948,104.041595",7625,286,344
