Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1727764453,2024-10-01T06:34:13Z,TGW390,"1.364784,103.988235",0,0,19
1727764618,2024-10-01T06:36:58Z,TGW390,"1.367111,103.988037",0,12,14
1727764645,2024-10-01T06:37:25Z,TGW390,"1.367741,103.988304",0,6,22
1727764665,2024-10-01T06:37:45Z,TGW390,"1.368089,103.988747",0,8,95
1727764672,2024-10-01T06:37:52Z,TGW390,"1.367992,103.988991",0,8,112
1727764677,2024-10-01T06:37:57Z,TGW390,"1.367891,103.98922",0,11,112
1727764682,2024-10-01T06:38:02Z,TGW390,"1.367798,103.989426",0,12,112
1727764685,2024-10-01T06:38:05Z,TGW390,"1.367716,103.989632",0,12,112
1727764692,2024-10-01T06:38:12Z,TGW390,"1.367558,103.990005",0,13,112
1727764701,2024-10-01T06:38:21Z,TGW390,"1.367321,103.990578",0,15,112
1727764709,2024-10-01T06:38:29Z,TGW390,"1.367123,103.991028",0,15,112
1727764725,2024-10-01T06:38:45Z,TGW390,"1.366576,103.99231",0,0,112
1727764740,2024-10-01T06:39:00Z,TGW390,"1.36604,103.993576",0,21,112
1727764752,2024-10-01T06:39:12Z,TGW390,"1.365566,103.994659",0,21,112
1727764770,2024-10-01T06:39:30Z,TGW390,"1.364888,103.996254",0,0,112
1727764955,2024-10-01T06:42:35Z,TGW390,"1.363783,103.998642",0,8,135
1727764962,2024-10-01T06:42:42Z,TGW390,"1.363506,103.998756",0,10,165
1727764973,2024-10-01T06:42:53Z,TGW390,"1.36298,103.998825",0,11,174
1727765023,2024-10-01T06:43:43Z,TGW390,"1.359244,103.997826",0,0,202
1727765055,2024-10-01T06:44:15Z,TGW390,"1.34131,103.990189",325,169,203
1727765065,2024-10-01T06:44:25Z,TGW390,"1.335165,103.987534",625,166,203
1727765074,2024-10-01T06:44:34Z,TGW390,"1.328384,103.984619",1000,169,203
1727765083,2024-10-01T06:44:43Z,TGW390,"1.321851,103.981804",1400,165,203
1727765092,2024-10-01T06:44:52Z,TGW390,"1.315753,103.979156",1700,165,203
1727765101,2024-10-01T06:45:01Z,TGW390,"1.308701,103.976189",1925,169,202
1727765110,2024-10-01T06:45:10Z,TGW390,"1.302383,103.973541",2200,172,202
1727765120,2024-10-01T06:45:20Z,TGW390,"1.295334,103.970604",2500,170,202
1727765129,2024-10-01T06:45:29Z,TGW390,"1.28833,103.96772",2775,169,202
