Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1727765492,2024-10-01T06:51:32Z,TGW684,"1.362468,103.991608",0,3,132
1727769381,2024-10-01T07:56:21Z,TGW684,"1.362419,103.991837",0,0,132
1727769463,2024-10-01T07:57:43Z,TGW684,"1.362468,103.991631",0,4,132
1727769480,2024-10-01T07:58:00Z,TGW684,"1.3627,103.991394",0,4,135
1727769503,2024-10-01T07:58:23Z,TGW684,"1.362991,103.991089",0,0,112
1727769515,2024-10-01T07:58:35Z,TGW684,"1.363014,103.990883",0,3,64
1727769570,2024-10-01T07:59:30Z,TGW684,"1.363236,103.99102",0,2,25
1727769880,2024-10-01T08:04:40Z,TGW684,"1.365889,103.993904",0,7,106
1727769922,2024-10-01T08:05:22Z,TGW684,"1.365074,103.995789",0,0,112
1727769930,2024-10-01T08:05:30Z,TGW684,"1.364902,103.996185",0,9,112
1727769944,2024-10-01T08:05:44Z,TGW684,"1.364697,103.996666",0,9,112
1727769953,2024-10-01T08:05:53Z,TGW684,"1.364563,103.997009",0,9,112
1727769965,2024-10-01T08:06:05Z,TGW684,"1.364353,103.997482",0,0,112
1727769974,2024-10-01T08:06:14Z,TGW684,"1.364178,103.99791",0,11,112
1727769980,2024-10-01T08:06:20Z,TGW684,"1.364056,103.998177",0,11,112
1727769988,2024-10-01T08:06:28Z,TGW684,"1.363907,103.998512",0,9,118
1727769995,2024-10-01T08:06:35Z,TGW684,"1.363655,103.998711",0,11,157
1727770001,2024-10-01T08:06:41Z,TGW684,"1.36334,103.998787",0,12,171
1727770006,2024-10-01T08:06:46Z,TGW684,"1.363037,103.998825",0,12,174
1727770158,2024-10-01T08:09:18Z,TGW684,"1.330582,103.985733",800,157,203
1727770165,2024-10-01T08:09:25Z,TGW684,"1.325575,103.983604",1025,159,203
1727770174,2024-10-01T08:09:34Z,TGW684,"1.319229,103.98085",1325,159,203
1727770183,2024-10-01T08:09:43Z,TGW684,"1.313232,103.978333",1600,159,202
1727770192,2024-10-01T08:09:52Z,TGW684,"1.306915,103.975632",1875,161,203
1727770201,2024-10-01T08:10:01Z,TGW684,"1.300716,103.972954",2125,161,204
1727770211,2024-10-01T08:10:11Z,TGW684,"1.29451,103.970184",2425,159,203
1727770220,2024-10-01T08:10:20Z,TGW684,"1.288284,103.967583",2725,158,202
1727770228,2024-10-01T08:10:28Z,TGW684,"1.282142,103.965141",2975,161,202
1727770237,2024-10-01T08:10:37Z,TGW684,"1.275904,103.962532",3100,171,203
1727770247,2024-10-01T08:10:47Z,TGW684,"1.268874,103.959358",3150,186,204
1727770255,2024-10-01T08:10:55Z,TGW684,"1.261705,103.956001",3250,198,205
1727770265,2024-10-01T08:11:05Z,TGW684,"1.253605,103.952591",3475,211,201
1727770274,2024-10-01T08:11:14Z,TGW684,"1.244705,103.949142",3750,224,199
1727770277,2024-10-01T08:11:17Z,TGW684,"1.242107,103.948326",3825,227,195
1727770280,2024-10-01T08:11:20Z,TGW684,"1.238755,103.947708",3950,231,187
1727770283,2024-10-01T08:11:23Z,TGW684,"1.235217,103.947525",4075,234,180
1727770286,2024-10-01T08:11:26Z,TGW684,"1.231934,103.947792",4200,234,171
1727770289,2024-10-01T08:11:29Z,TGW684,"1.228886,103.948517",4350,235,165
1727770292,2024-10-01T08:11:32Z,TGW684,"1.226212,103.949471",4500,234,158
1727770295,2024-10-01T08:11:35Z,TGW684,"1.222881,103.951073",4675,233,151
