Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1727612060,2024-09-29T12:14:20Z,VJC814,"1.337585,103.986732",0,13,22
1727612067,2024-09-29T12:14:27Z,VJC814,"1.338032,103.986923",0,15,22
1727612107,2024-09-29T12:15:07Z,VJC814,"1.341282,103.988304",0,0,22
1727612115,2024-09-29T12:15:15Z,VJC814,"1.342136,103.988663",0,24,22
1727612123,2024-09-29T12:15:23Z,VJC814,"1.342999,103.989029",0,23,22
1727612133,2024-09-29T12:15:33Z,VJC814,"1.343835,103.989372",0,19,22
1727612147,2024-09-29T12:15:47Z,VJC814,"1.344801,103.989784",0,14,22
1727612154,2024-09-29T12:15:54Z,VJC814,"1.34522,103.989967",0,14,22
1727612161,2024-09-29T12:16:01Z,VJC814,"1.345685,103.99015",0,15,22
1727612172,2024-09-29T12:16:12Z,VJC814,"1.346419,103.990471",0,16,22
1727612257,2024-09-29T12:17:37Z,VJC814,"1.353561,103.993507",0,13,22
1727612266,2024-09-29T12:17:46Z,VJC814,"1.3541,103.993729",0,14,22
1727612286,2024-09-29T12:18:06Z,VJC814,"1.355194,103.994194",0,0,22
1727612302,2024-09-29T12:18:22Z,VJC814,"1.356276,103.994629",0,15,22
1727612960,2024-09-29T12:29:20Z,VJC814,"1.341614,103.990387",200,173,203
1727612969,2024-09-29T12:29:29Z,VJC814,"1.335022,103.987411",550,171,204
1727612978,2024-09-29T12:29:38Z,VJC814,"1.328293,103.984528",925,171,202
1727612988,2024-09-29T12:29:48Z,VJC814,"1.321478,103.981857",1325,167,199
1727612991,2024-09-29T12:29:51Z,VJC814,"1.31929,103.981331",1425,167,193
1727612993,2024-09-29T12:29:53Z,VJC814,"1.317009,103.981148",1550,168,185
1727612997,2024-09-29T12:29:57Z,VJC814,"1.314682,103.981239",1650,168,177
1727612999,2024-09-29T12:29:59Z,VJC814,"1.312317,103.981735",1750,168,169
1727613002,2024-09-29T12:30:02Z,VJC814,"1.310211,103.982475",1850,168,160
1727613005,2024-09-29T12:30:05Z,VJC814,"1.308334,103.983452",1950,170,151
1727613008,2024-09-29T12:30:08Z,VJC814,"1.306091,103.985085",2075,171,143
1727613012,2024-09-29T12:30:12Z,VJC814,"1.30426,103.986946",2175,172,135
1727613015,2024-09-29T12:30:15Z,VJC814,"1.302858,103.988907",2250,173,127
1727613018,2024-09-29T12:30:18Z,VJC814,"1.301694,103.990997",2350,173,120
1727613021,2024-09-29T12:30:21Z,VJC814,"1.30069,103.993088",2425,174,116
1727613024,2024-09-29T12:30:24Z,VJC814,"1.299728,103.995277",2525,174,113
1727613027,2024-09-29T12:30:27Z,VJC814,"1.298807,103.997574",2625,174,111
1727613030,2024-09-29T12:30:30Z,VJC814,"1.297943,103.999886",2700,175,110
1727613033,2024-09-29T12:30:33Z,VJC814,"1.297132,104.002167",2800,176,109
1727613036,2024-09-29T12:30:36Z,VJC814,"1.296294,104.004539",2875,177,109
1727613039,2024-09-29T12:30:39Z,VJC814,"1.295456,104.00695",2950,178,109
1727613042,2024-09-29T12:30:42Z,VJC814,"1.294757,104.008987",3025,178,108
1727613045,2024-09-29T12:30:45Z,VJC814,"1.293869,104.011528",3100,179,108
1727613048,2024-09-29T12:30:48Z,VJC814,"1.293045,104.013901",3200,180,108
1727613051,2024-09-29T12:30:51Z,VJC814,"1.292197,104.016327",3275,181,108
1727613057,2024-09-29T12:30:57Z,VJC814,"1.290436,104.021439",3425,185,109
1727613066,2024-09-29T12:31:06Z,VJC814,"1.287872,104.028702",3600,191,109
1727613072,2024-09-29T12:31:12Z,VJC814,"1.286471,104.033943",3700,197,102
1727613075,2024-09-29T12:31:15Z,VJC814,"1.286006,104.036835",3775,200,99
1727613078,2024-09-29T12:31:18Z,VJC814,"1.285726,104.039627",3825,202,95
1727613081,2024-09-29T12:31:21Z,VJC814,"1.285633,104.042374",3875,206,92
1727613084,2024-09-29T12:31:24Z,VJC814,"1.285633,104.045265",3925,209,89
1727613087,2024-09-29T12:31:27Z,VJC814,"1.285913,104.048058",3975,211,86
1727613090,2024-09-29T12:31:30Z,VJC814,"1.286564,104.051468",4025,214,79
1727613093,2024-09-29T12:31:33Z,VJC814,"1.287323,104.053932",4050,218,74
1727613096,2024-09-29T12:31:36Z,VJC814,"1.288605,104.057289",4100,221,68
1727613099,2024-09-29T12:31:39Z,VJC814,"1.290024,104.05999",4150,225,63
1727613102,2024-09-29T12:31:42Z,VJC814,"1.291778,104.062691",4175,230,57
1727613105,2024-09-29T12:31:45Z,VJC814,"1.29364,104.064964",4225,234,52
