Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1727603690,2024-09-29T09:54:50Z,CSZ230,"1.363643,103.998749",0,0,149
1727603699,2024-09-29T09:54:59Z,CSZ230,"1.363255,103.998817",0,10,171
1727603733,2024-09-29T09:55:33Z,CSZ230,"1.361804,103.998924",0,0,191
1727603741,2024-09-29T09:55:41Z,CSZ230,"1.361595,103.998825",0,6,202
1727603751,2024-09-29T09:55:51Z,CSZ230,"1.361126,103.998604",0,0,202
1727603760,2024-09-29T09:56:00Z,CSZ230,"1.359081,103.997765",0,0,202
1727603789,2024-09-29T09:56:29Z,CSZ230,"1.344615,103.991653",250,165,203
1727603798,2024-09-29T09:56:38Z,CSZ230,"1.336945,103.98848",625,162,202
1727603807,2024-09-29T09:56:47Z,CSZ230,"1.330627,103.985924",975,162,201
1727603816,2024-09-29T09:56:56Z,CSZ230,"1.324504,103.983513",1300,163,201
1727603825,2024-09-29T09:57:05Z,CSZ230,"1.31808,103.980911",1675,164,202
1727603831,2024-09-29T09:57:11Z,CSZ230,"1.313599,103.979034",1925,163,202
1727603840,2024-09-29T09:57:20Z,CSZ230,"1.307419,103.976425",2250,161,202
1727603849,2024-09-29T09:57:29Z,CSZ230,"1.301147,103.97377",2550,163,203
1727603858,2024-09-29T09:57:38Z,CSZ230,"1.294693,103.970978",2775,167,203
1727603867,2024-09-29T09:57:47Z,CSZ230,"1.288376,103.968277",3025,169,203
1727603876,2024-09-29T09:57:56Z,CSZ230,"1.281676,103.965378",3300,171,203
1727603885,2024-09-29T09:58:05Z,CSZ230,"1.274973,103.96244",3425,181,203
1727603894,2024-09-29T09:58:14Z,CSZ230,"1.267502,103.959106",3550,193,204
1727603903,2024-09-29T09:58:23Z,CSZ230,"1.259674,103.955711",3675,204,203
1727603912,2024-09-29T09:58:32Z,CSZ230,"1.251557,103.9524",3775,218,202
1727603919,2024-09-29T09:58:39Z,CSZ230,"1.245071,103.950218",3800,229,197
1727603921,2024-09-29T09:58:41Z,CSZ230,"1.242293,103.949654",3850,232,193
1727603924,2024-09-29T09:58:44Z,CSZ230,"1.238937,103.949287",3925,237,187
1727603928,2024-09-29T09:58:48Z,CSZ230,"1.235403,103.949226",4000,241,180
1727603931,2024-09-29T09:58:51Z,CSZ230,"1.232005,103.949562",4100,244,174
