Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1727603532,2024-09-29T09:52:12Z,CPA716,"1.342485,103.986824",0,0,185
1727603549,2024-09-29T09:52:29Z,CPA716,"1.342793,103.986954",0,4,146
1727603560,2024-09-29T09:52:40Z,CPA716,"1.342999,103.986908",0,4,120
1727603575,2024-09-29T09:52:55Z,CPA716,"1.343148,103.986687",0,3,112
1727603883,2024-09-29T09:58:03Z,CPA716,"1.343044,103.986923",0,5,112
1727603894,2024-09-29T09:58:14Z,CPA716,"1.342939,103.987144",0,6,112
1727603902,2024-09-29T09:58:22Z,CPA716,"1.342834,103.987381",0,8,112
1727603909,2024-09-29T09:58:29Z,CPA716,"1.342735,103.987656",0,10,109
1727603918,2024-09-29T09:58:38Z,CPA716,"1.342964,103.988014",0,12,61
1727603923,2024-09-29T09:58:43Z,CPA716,"1.343218,103.988167",0,11,42
1727603929,2024-09-29T09:58:49Z,CPA716,"1.343416,103.988388",0,11,47
1727603938,2024-09-29T09:58:58Z,CPA716,"1.343307,103.988716",0,7,95
1727603945,2024-09-29T09:59:05Z,CPA716,"1.343218,103.988937",0,7,104
1727603955,2024-09-29T09:59:15Z,CPA716,"1.343405,103.989197",0,7,67
1727603997,2024-09-29T09:59:57Z,CPA716,"1.344871,103.989807",0,12,22
1727604005,2024-09-29T10:00:05Z,CPA716,"1.345322,103.990005",0,13,22
1727604011,2024-09-29T10:00:11Z,CPA716,"1.345651,103.990143",0,14,22
1727604120,2024-09-29T10:02:00Z,CPA716,"1.354519,103.993896",0,0,22
1727604127,2024-09-29T10:02:07Z,CPA716,"1.35537,103.994255",0,0,22
1727604137,2024-09-29T10:02:17Z,CPA716,"1.356346,103.994644",0,22,22
1727604157,2024-09-29T10:02:37Z,CPA716,"1.357933,103.9953",0,15,22
1727604174,2024-09-29T10:02:54Z,CPA716,"1.35894,103.995735",0,0,22
1727604536,2024-09-29T10:08:56Z,CPA716,"1.36132,103.998688",0,3,196
1727604578,2024-09-29T10:09:38Z,CPA716,"1.359384,103.997887",0,62,202
1727604609,2024-09-29T10:10:09Z,CPA716,"1.343311,103.991043",300,161,204
1727604618,2024-09-29T10:10:18Z,CPA716,"1.337631,103.98848",650,157,204
1727604627,2024-09-29T10:10:27Z,CPA716,"1.331314,103.985687",1050,154,203
1727604636,2024-09-29T10:10:36Z,CPA716,"1.325203,103.98304",1400,156,203
1727604645,2024-09-29T10:10:45Z,CPA716,"1.319058,103.980484",1725,156,202
1727604651,2024-09-29T10:10:51Z,CPA716,"1.315101,103.978874",1950,156,202
1727604660,2024-09-29T10:11:00Z,CPA716,"1.308792,103.976379",2150,167,201
1727604669,2024-09-29T10:11:09Z,CPA716,"1.301694,103.973564",2300,184,201
1727604678,2024-09-29T10:11:18Z,CPA716,"1.294432,103.970726",2400,201,201
1727604687,2024-09-29T10:11:27Z,CPA716,"1.286052,103.967316",2525,219,202
1727604696,2024-09-29T10:11:36Z,CPA716,"1.277021,103.963531",2700,236,203
1727604706,2024-09-29T10:11:46Z,CPA716,"1.267524,103.959457",2975,246,203
1727604715,2024-09-29T10:11:55Z,CPA716,"1.257935,103.955292",3425,246,203
1727604724,2024-09-29T10:12:04Z,CPA716,"1.248531,103.951172",3900,246,202
1727604730,2024-09-29T10:12:10Z,CPA716,"1.241781,103.948799",4150,248,194
1727604733,2024-09-29T10:12:13Z,CPA716,"1.238429,103.94809",4250,248,189
1727604736,2024-09-29T10:12:16Z,CPA716,"1.235046,103.947701",4300,250,183
1727604739,2024-09-29T10:12:19Z,CPA716,"1.231384,103.947746",4350,252,176
1727604742,2024-09-29T10:12:22Z,CPA716,"1.227264,103.948357",4425,255,168
1727604745,2024-09-29T10:12:25Z,CPA716,"1.22406,103.949287",4475,258,161
1727604748,2024-09-29T10:12:28Z,CPA716,"1.220786,103.950699",4525,260,153
1727604751,2024-09-29T10:12:31Z,CPA716,"1.21776,103.9524",4575,263,147
1727604754,2024-09-29T10:12:34Z,CPA716,"1.214493,103.954781",4650,266,140
1727604757,2024-09-29T10:12:37Z,CPA716,"1.211801,103.957138",4700,268,137
