Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1719155338,2024-06-23T15:08:58Z,JSA678,"5.31514,100.292976",1250,180,42
1719155346,2024-06-23T15:09:06Z,JSA678,"5.320781,100.298164",1500,188,43
1719155349,2024-06-23T15:09:09Z,JSA678,"5.32283,100.300385",1550,191,47
1719155352,2024-06-23T15:09:12Z,JSA678,"5.324341,100.302383",1600,193,52
1719155355,2024-06-23T15:09:15Z,JSA678,"5.32525,100.303947",1650,196,60
1719155358,2024-06-23T15:09:18Z,JSA678,"5.326693,100.307495",1700,199,71
1719155362,2024-06-23T15:09:22Z,JSA678,"5.327271,100.310669",1750,202,80
1719155365,2024-06-23T15:09:25Z,JSA678,"5.327438,100.313507",1825,205,87
1719155368,2024-06-23T15:09:28Z,JSA678,"5.327316,100.316399",1875,208,92
1719155371,2024-06-23T15:09:31Z,JSA678,"5.327159,100.318344",1925,212,94
1719155374,2024-06-23T15:09:34Z,JSA678,"5.326721,100.322258",2000,215,96
1719155377,2024-06-23T15:09:37Z,JSA678,"5.326309,100.32547",2125,218,97
1719155380,2024-06-23T15:09:40Z,JSA678,"5.325855,100.328476",2275,218,98
1719155383,2024-06-23T15:09:43Z,JSA678,"5.325348,100.331528",2400,220,98
1719155386,2024-06-23T15:09:46Z,JSA678,"5.324844,100.334785",2525,222,98
1719155390,2024-06-23T15:09:50Z,JSA678,"5.324319,100.33828",2675,223,98
1719155393,2024-06-23T15:09:53Z,JSA678,"5.323837,100.341347",2800,225,98
1719155396,2024-06-23T15:09:56Z,JSA678,"5.323341,100.344673",2925,227,98
1719155402,2024-06-23T15:10:02Z,JSA678,"5.322418,100.351166",3225,229,98
1719155411,2024-06-23T15:10:11Z,JSA678,"5.321045,100.360901",3725,230,97
1719155421,2024-06-23T15:10:21Z,JSA678,"5.319717,100.371094",4175,232,97
1719155430,2024-06-23T15:10:30Z,JSA678,"5.318453,100.381226",4650,234,96
1719155440,2024-06-23T15:10:40Z,JSA678,"5.317245,100.391388",5100,235,97
1719155449,2024-06-23T15:10:49Z,JSA678,"5.314636,100.401451",5500,239,110
1719155452,2024-06-23T15:10:52Z,JSA678,"5.312867,100.405045",5625,242,117
1719155455,2024-06-23T15:10:55Z,JSA678,"5.310974,100.407913",5700,244,124
1719155459,2024-06-23T15:10:59Z,JSA678,"5.30864,100.410713",5775,248,130
1719155461,2024-06-23T15:11:01Z,JSA678,"5.306259,100.412895",5850,249,135
1719155465,2024-06-23T15:11:05Z,JSA678,"5.303463,100.415039",5900,256,143
1719155468,2024-06-23T15:11:08Z,JSA678,"5.299988,100.417274",5975,259,147
1719155471,2024-06-23T15:11:11Z,JSA678,"5.296646,100.419228",6075,262,149
1719155474,2024-06-23T15:11:14Z,JSA678,"5.293408,100.421051",6150,268,150
1719155477,2024-06-23T15:11:17Z,JSA678,"5.290054,100.422905",6225,270,151
1719155481,2024-06-23T15:11:21Z,JSA678,"5.286239,100.42498",6300,275,151
1719155483,2024-06-23T15:11:23Z,JSA678,"5.284237,100.426071",6375,280,151
1719155487,2024-06-23T15:11:27Z,JSA678,"5.27935,100.42868",6450,286,151
1719155490,2024-06-23T15:11:30Z,JSA678,"5.275223,100.43087",6525,290,151
1719155502,2024-06-23T15:11:42Z,JSA678,"5.260263,100.438904",6825,306,151
1719155518,2024-06-23T15:11:58Z,JSA678,"5.239966,100.450081",7175,327,150
1719155534,2024-06-23T15:12:14Z,JSA678,"5.218597,100.462105",7775,338,150
1719155549,2024-06-23T15:12:29Z,JSA678,"5.196854,100.474533",8450,344,150
1719155562,2024-06-23T15:12:42Z,JSA678,"5.179216,100.484695",8975,349,150
1719155578,2024-06-23T15:12:58Z,JSA678,"5.156405,100.497818",9600,355,149
1719155590,2024-06-23T15:13:10Z,JSA678,"5.138306,100.508286",10175,357,149
1719155606,2024-06-23T15:13:26Z,JSA678,"5.115829,100.521179",10900,360,150
1719155622,2024-06-23T15:13:42Z,JSA678,"5.092722,100.53437",11525,364,150
1719155637,2024-06-23T15:13:57Z,JSA678,"5.069585,100.547493",12075,370,150
1719155668,2024-06-23T15:14:28Z,JSA678,"5.022949,100.574013",13375,373,150
1719155700,2024-06-23T15:15:00Z,JSA678,"4.975342,100.601059",14625,378,150
1719155733,2024-06-23T15:15:33Z,JSA678,"4.924438,100.629974",15600,387,150
1719155763,2024-06-23T15:16:03Z,JSA678,"4.87644,100.657166",16525,396,150
1719155796,2024-06-23T15:16:36Z,JSA678,"4.82428,100.686813",17475,403,150
1719155827,2024-06-23T15:17:07Z,JSA678,"4.772644,100.716187",18475,407,150
1719155860,2024-06-23T15:17:40Z,JSA678,"4.71928,100.746475",19550,410,150
1719155893,2024-06-23T15:18:13Z,JSA678,"4.662369,100.778702",20450,416,150
1719155924,2024-06-23T15:18:44Z,JSA678,"4.612061,100.807243",21450,413,150
1719155955,2024-06-23T15:19:15Z,JSA678,"4.558442,100.837631",22400,410,150
1719155986,2024-06-23T15:19:46Z,JSA678,"4.508102,100.866081",23250,410,150
1719156019,2024-06-23T15:20:19Z,JSA678,"4.451248,100.897789",23775,420,152
1719156051,2024-06-23T15:20:51Z,JSA678,"4.395602,100.924812",24350,428,154
1719156082,2024-06-23T15:21:22Z,JSA678,"4.339507,100.952042",24900,434,153
1719156113,2024-06-23T15:21:53Z,JSA678,"4.283112,100.979576",25350,440,153
1719156144,2024-06-23T15:22:24Z,JSA678,"4.225662,101.007507",25800,446,153
1719156175,2024-06-23T15:22:55Z,JSA678,"4.167729,101.035812",26225,452,153
1719156206,2024-06-23T15:23:26Z,JSA678,"4.108607,101.064697",26675,457,153
1719156240,2024-06-23T15:24:00Z,JSA678,"4.044086,101.0961",27250,460,153
1719156270,2024-06-23T15:24:30Z,JSA678,"3.985663,101.124557",27775,464,153
1719156303,2024-06-23T15:25:03Z,JSA678,"3.922538,101.155334",28175,470,153
1719156334,2024-06-23T15:25:34Z,JSA678,"3.860962,101.185295",28825,469,154
1719156367,2024-06-23T15:26:07Z,JSA678,"3.795637,101.216949",29450,466,154
1719156397,2024-06-23T15:26:37Z,JSA678,"3.739309,101.249008",29925,462,144
1719156401,2024-06-23T15:26:41Z,JSA678,"3.733815,101.253128",29975,461,143
1719156403,2024-06-23T15:26:43Z,JSA678,"3.728668,101.256935",30025,462,143
1719156434,2024-06-23T15:27:14Z,JSA678,"3.675532,101.2966",30425,463,143
1719156466,2024-06-23T15:27:46Z,JSA678,"3.621671,101.336327",30850,464,143
1719156497,2024-06-23T15:28:17Z,JSA678,"3.567947,101.375877",31225,466,143
1719156528,2024-06-23T15:28:48Z,JSA678,"3.513763,101.415695",31675,465,143
1719156559,2024-06-23T15:29:19Z,JSA678,"3.460602,101.45488",32025,469,143
1719156593,2024-06-23T15:29:53Z,JSA678,"3.400406,101.499146",32650,468,143
1719156624,2024-06-23T15:30:24Z,JSA678,"3.346344,101.538902",33150,467,143
1719156655,2024-06-23T15:30:55Z,JSA678,"3.292145,101.578842",33800,464,143
1719156686,2024-06-23T15:31:26Z,JSA678,"3.238861,101.618042",34300,464,143
1719156719,2024-06-23T15:31:59Z,JSA678,"3.180914,101.660759",34800,464,143
1719156750,2024-06-23T15:32:30Z,JSA678,"3.127945,101.699837",35175,466,143
1719156783,2024-06-23T15:33:03Z,JSA678,"3.06891,101.743103",35775,464,143
1719156814,2024-06-23T15:33:34Z,JSA678,"3.015381,101.782463",36250,462,143
1719156848,2024-06-23T15:34:08Z,JSA678,"2.957557,101.824982",36775,461,143
1719156879,2024-06-23T15:34:39Z,JSA678,"2.904953,101.863579",37025,454,143
1719156909,2024-06-23T15:35:09Z,JSA678,"2.852509,101.902199",37000,454,143
1719156940,2024-06-23T15:35:40Z,JSA678,"2.801331,101.939857",37000,457,143
1719156971,2024-06-23T15:36:11Z,JSA678,"2.748584,101.97879",37000,458,143
1719157005,2024-06-23T15:36:45Z,JSA678,"2.690689,102.02137",37000,457,143
1719157038,2024-06-23T15:37:18Z,JSA678,"2.634155,102.062851",37025,458,143
1719157071,2024-06-23T15:37:51Z,JSA678,"2.576294,102.105278",37000,456,143
1719157105,2024-06-23T15:38:25Z,JSA678,"2.519221,102.147141",37000,456,143
1719157135,2024-06-23T15:38:55Z,JSA678,"2.468107,102.184738",37000,456,143
1719157169,2024-06-23T15:39:29Z,JSA678,"2.411499,102.226318",37000,456,143
1719157199,2024-06-23T15:39:59Z,JSA678,"2.358569,102.265244",37000,455,143
1719157230,2024-06-23T15:40:30Z,JSA678,"2.306534,102.301521",37000,458,150
1719157236,2024-06-23T15:40:36Z,JSA678,"2.296326,102.306877",36975,460,153
1719157239,2024-06-23T15:40:39Z,JSA678,"2.288229,102.310654",36975,462,155
1719157242,2024-06-23T15:40:42Z,JSA678,"2.282736,102.313019",36975,462,156
