Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1719583398,2024-06-28T14:03:18Z,AXM6128,"2.742916,101.688545",0,3,326
1719583417,2024-06-28T14:03:37Z,AXM6128,"2.742683,101.688675",0,3,309
1719583442,2024-06-28T14:04:02Z,AXM6128,"2.742542,101.688881",0,2,239
1719583637,2024-06-28T14:07:17Z,AXM6128,"2.742085,101.688583",0,0,210
1719583645,2024-06-28T14:07:25Z,AXM6128,"2.741671,101.688461",0,12,196
1719583651,2024-06-28T14:07:31Z,AXM6128,"2.741329,101.688316",0,14,205
1719583655,2024-06-28T14:07:35Z,AXM6128,"2.741077,101.688103",0,15,222
1719583661,2024-06-28T14:07:41Z,AXM6128,"2.740803,101.687775",0,16,233
1719583674,2024-06-28T14:07:54Z,AXM6128,"2.740036,101.686836",0,18,236
1719583681,2024-06-28T14:08:01Z,AXM6128,"2.739844,101.686348",0,18,233
1719583684,2024-06-28T14:08:04Z,AXM6128,"2.739693,101.686127",0,19,236
1719583688,2024-06-28T14:08:08Z,AXM6128,"2.739529,101.685852",0,19,239
1719583699,2024-06-28T14:08:19Z,AXM6128,"2.738947,101.685013",0,19,236
1719583707,2024-06-28T14:08:27Z,AXM6128,"2.73856,101.684448",0,19,236
1719583713,2024-06-28T14:08:33Z,AXM6128,"2.738238,101.68396",0,19,236
1719583721,2024-06-28T14:08:41Z,AXM6128,"2.737888,101.683449",0,16,236
1719583728,2024-06-28T14:08:48Z,AXM6128,"2.737667,101.683121",0,12,236
1719583736,2024-06-28T14:08:56Z,AXM6128,"2.737495,101.682869",0,7,236
1719583746,2024-06-28T14:09:06Z,AXM6128,"2.737347,101.682655",0,6,236
1719583773,2024-06-28T14:09:33Z,AXM6128,"2.73719,101.682419",0,2,236
1719583784,2024-06-28T14:09:44Z,AXM6128,"2.737015,101.682175",0,8,236
1719583790,2024-06-28T14:09:50Z,AXM6128,"2.736889,101.681885",0,11,250
1719583795,2024-06-28T14:09:55Z,AXM6128,"2.736912,101.681656",0,10,275
1719583801,2024-06-28T14:10:01Z,AXM6128,"2.736946,101.681427",0,9,272
1719583808,2024-06-28T14:10:08Z,AXM6128,"2.736853,101.681213",0,8,247
1719583817,2024-06-28T14:10:17Z,AXM6128,"2.736701,101.681",0,6,236
1719583827,2024-06-28T14:10:27Z,AXM6128,"2.736562,101.680786",0,6,236
1719583845,2024-06-28T14:10:45Z,AXM6128,"2.736422,101.680573",0,2,236
1719583910,2024-06-28T14:11:50Z,AXM6128,"2.735813,101.679726",0,0,236
1719583917,2024-06-28T14:11:57Z,AXM6128,"2.735642,101.679459",0,9,236
1719583926,2024-06-28T14:12:06Z,AXM6128,"2.735413,101.679398",0,6,188
1719583943,2024-06-28T14:12:23Z,AXM6128,"2.735165,101.679604",0,7,146
1719583946,2024-06-28T14:12:26Z,AXM6128,"2.734943,101.679749",0,18,146
1719583948,2024-06-28T14:12:28Z,AXM6128,"2.734692,101.679924",0,27,146
1719583950,2024-06-28T14:12:30Z,AXM6128,"2.734348,101.680145",0,36,146
1719583952,2024-06-28T14:12:32Z,AXM6128,"2.733959,101.680412",0,46,146
1719583953,2024-06-28T14:12:33Z,AXM6128,"2.733745,101.680565",0,50,146
1719583954,2024-06-28T14:12:34Z,AXM6128,"2.733513,101.68071",0,55,146
1719583955,2024-06-28T14:12:35Z,AXM6128,"2.733256,101.680893",0,60,146
1719583956,2024-06-28T14:12:36Z,AXM6128,"2.732986,101.681076",0,64,146
1719583957,2024-06-28T14:12:37Z,AXM6128,"2.732721,101.681252",0,68,146
1719583964,2024-06-28T14:12:44Z,AXM6128,"2.73024,101.682892",125,98,146
1719583973,2024-06-28T14:12:53Z,AXM6128,"2.726006,101.68576",125,128,146
1719583982,2024-06-28T14:13:02Z,AXM6128,"2.720535,101.689407",100,160,146
1719583991,2024-06-28T14:13:11Z,AXM6128,"2.71488,101.693192",425,164,146
1719583998,2024-06-28T14:13:18Z,AXM6128,"2.711063,101.695755",675,161,145
1719584007,2024-06-28T14:13:27Z,AXM6128,"2.705612,101.699509",875,172,145
1719584016,2024-06-28T14:13:36Z,AXM6128,"2.699052,101.704086",1075,182,145
1719584022,2024-06-28T14:13:42Z,AXM6128,"2.694537,101.707161",1200,191,145
1719584028,2024-06-28T14:13:48Z,AXM6128,"2.689316,101.710075",1325,200,151
1719584031,2024-06-28T14:13:51Z,AXM6128,"2.686949,101.711044",1325,206,155
1719584034,2024-06-28T14:13:54Z,AXM6128,"2.683594,101.712128",1350,216,162
1719584037,2024-06-28T14:13:57Z,AXM6128,"2.680524,101.712708",1400,223,168
1719584040,2024-06-28T14:14:00Z,AXM6128,"2.67746,101.712822",1450,227,173
1719584043,2024-06-28T14:14:03Z,AXM6128,"2.67438,101.712563",1500,232,181
1719584046,2024-06-28T14:14:06Z,AXM6128,"2.671097,101.711891",1575,237,191
1719584049,2024-06-28T14:14:09Z,AXM6128,"2.667816,101.710716",1650,242,198
