Timestamp,UTC,Callsign,Altitude,Speed,Direction,Latitude,Longitude
1721745655,2024-07-23T14:40:55Z,AXM6128,0,1,326,2.74007,101.684158
1721745774,2024-07-23T14:42:54Z,AXM6128,0,2,317,2.739867,101.684288
1721745800,2024-07-23T14:43:20Z,AXM6128,0,2,272,2.739658,101.684425
1721745829,2024-07-23T14:43:49Z,AXM6128,0,1,236,2.739669,101.684631
1721745978,2024-07-23T14:46:18Z,AXM6128,0,5,196,2.739452,101.68454
1721745987,2024-07-23T14:46:27Z,AXM6128,0,6,196,2.739227,101.684502
1721746000,2024-07-23T14:46:40Z,AXM6128,0,10,236,2.738854,101.684158
1721746010,2024-07-23T14:46:50Z,AXM6128,0,11,236,2.738575,101.683746
1721746015,2024-07-23T14:46:55Z,AXM6128,0,11,236,2.738445,101.68354
1721746022,2024-07-23T14:47:02Z,AXM6128,0,12,236,2.738238,101.683235
1721746029,2024-07-23T14:47:09Z,AXM6128,0,13,236,2.737999,101.682892
1721746037,2024-07-23T14:47:17Z,AXM6128,0,14,236,2.73776,101.682526
1721746043,2024-07-23T14:47:23Z,AXM6128,0,16,236,2.737528,101.682182
1721746050,2024-07-23T14:47:30Z,AXM6128,0,17,236,2.73719,101.681686
1721746057,2024-07-23T14:47:37Z,AXM6128,0,15,236,2.736911,101.681282
1721746065,2024-07-23T14:47:45Z,AXM6128,0,15,236,2.736631,101.680885
1721746072,2024-07-23T14:47:52Z,AXM6128,0,12,236,2.736352,101.680466
1721746087,2024-07-23T14:48:07Z,AXM6128,0,14,225,2.735859,101.679825
1721746094,2024-07-23T14:48:14Z,AXM6128,0,8,239,2.735664,101.679558
1721746106,2024-07-23T14:48:26Z,AXM6128,0,7,157,2.735424,101.67942
1721746118,2024-07-23T14:48:38Z,AXM6128,0,1,149,2.735223,101.679565
1721746125,2024-07-23T14:48:45Z,AXM6128,0,20,146,2.734956,101.679749
1721746127,2024-07-23T14:48:47Z,AXM6128,0,30,146,2.734723,101.679909
1721746129,2024-07-23T14:48:49Z,AXM6128,0,43,146,2.734383,101.680145
1721746131,2024-07-23T14:48:51Z,AXM6128,0,53,146,2.733982,101.680397
1721746132,2024-07-23T14:48:52Z,AXM6128,0,57,146,2.733768,101.68055
1721746139,2024-07-23T14:48:59Z,AXM6128,0,88,146,2.731693,101.681938
1721746147,2024-07-23T14:49:07Z,AXM6128,0,115,146,2.728374,101.684166
1721746154,2024-07-23T14:49:14Z,AXM6128,0,140,146,2.72497,101.686432
1721746161,2024-07-23T14:49:21Z,AXM6128,0,160,146,2.720874,101.689178
1721746170,2024-07-23T14:49:30Z,AXM6128,400,167,145,2.715159,101.693054
1721746179,2024-07-23T14:49:39Z,AXM6128,725,166,145,2.709387,101.696983
1721746185,2024-07-23T14:49:45Z,AXM6128,850,173,145,2.7052,101.699837
1721746194,2024-07-23T14:49:54Z,AXM6128,1050,186,145,2.699006,101.704086
1721746203,2024-07-23T14:50:03Z,AXM6128,1175,198,149,2.691925,101.708679
1721746207,2024-07-23T14:50:07Z,AXM6128,1200,203,151,2.689369,101.710007
1721746210,2024-07-23T14:50:10Z,AXM6128,1225,212,159,2.687027,101.71096
1721746213,2024-07-23T14:50:13Z,AXM6128,1275,218,166,2.683737,101.711853
1721746215,2024-07-23T14:50:15Z,AXM6128,1325,222,174,2.680847,101.712265
1721746219,2024-07-23T14:50:19Z,AXM6128,1425,226,180,2.677778,101.712326
1721746222,2024-07-23T14:50:22Z,AXM6128,1550,229,186,2.674393,101.712074
1721746225,2024-07-23T14:50:25Z,AXM6128,1675,232,191,2.671307,101.711571
1721746228,2024-07-23T14:50:28Z,AXM6128,1825,231,196,2.667892,101.710632
1721746231,2024-07-23T14:50:31Z,AXM6128,2000,232,202,2.664929,101.709488
1721746234,2024-07-23T14:50:34Z,AXM6128,2125,231,206,2.662788,101.708443
1721746237,2024-07-23T14:50:37Z,AXM6128,2325,230,214,2.660065,101.706772
1721746240,2024-07-23T14:50:40Z,AXM6128,2575,227,220,2.65686,101.704254
1721746243,2024-07-23T14:50:43Z,AXM6128,2800,225,226,2.654595,101.701958
1721746246,2024-07-23T14:50:46Z,AXM6128,3000,223,232,2.652512,101.699326
1721746249,2024-07-23T14:50:49Z,AXM6128,3200,221,238,2.650871,101.696747
1721746252,2024-07-23T14:50:52Z,AXM6128,3400,220,244,2.649521,101.693954
1721746255,2024-07-23T14:50:55Z,AXM6128,3600,219,250,2.648392,101.690941
1721746258,2024-07-23T14:50:58Z,AXM6128,3750,218,258,2.647705,101.688194
1721746261,2024-07-23T14:51:01Z,AXM6128,3975,218,264,2.647247,101.684799
1721746264,2024-07-23T14:51:04Z,AXM6128,4125,218,270,2.647146,101.681778
1721746268,2024-07-23T14:51:08Z,AXM6128,4300,218,276,2.647385,101.678604
1721746270,2024-07-23T14:51:10Z,AXM6128,4450,219,282,2.647891,101.676048
1721746274,2024-07-23T14:51:14Z,AXM6128,4600,220,285,2.648895,101.6726
1721746277,2024-07-23T14:51:17Z,AXM6128,4700,224,293,2.650033,101.669754
1721746280,2024-07-23T14:51:20Z,AXM6128,4825,228,298,2.651505,101.666878
1721746282,2024-07-23T14:51:22Z,AXM6128,4900,231,300,2.652919,101.664406
1721746286,2024-07-23T14:51:26Z,AXM6128,4975,234,300,2.65448,101.661751
1721746289,2024-07-23T14:51:29Z,AXM6128,5075,238,301,2.656503,101.658531
1721746292,2024-07-23T14:51:32Z,AXM6128,5150,242,302,2.658279,101.655655
1721746295,2024-07-23T14:51:35Z,AXM6128,5225,245,302,2.660088,101.652893
1721746298,2024-07-23T14:51:38Z,AXM6128,5300,248,302,2.661987,101.649933
1721746301,2024-07-23T14:51:41Z,AXM6128,5375,254,302,2.663952,101.646927
1721746304,2024-07-23T14:51:44Z,AXM6128,5475,254,302,2.665833,101.64402
1721746313,2024-07-23T14:51:53Z,AXM6128,5850,264,310,2.672611,101.634949
1721746316,2024-07-23T14:51:56Z,AXM6128,6000,266,317,2.675404,101.632248
1721746319,2024-07-23T14:51:59Z,AXM6128,6150,269,322,2.678558,101.629677
1721746322,2024-07-23T14:52:02Z,AXM6128,6325,270,325,2.681688,101.627464
1721746325,2024-07-23T14:52:05Z,AXM6128,6450,270,326,2.684342,101.625664
1721746328,2024-07-23T14:52:08Z,AXM6128,6625,269,326,2.68774,101.623444
1721746331,2024-07-23T14:52:11Z,AXM6128,6800,268,326,2.690964,101.621346
1721746335,2024-07-23T14:52:15Z,AXM6128,6975,268,327,2.694304,101.619179
1721746338,2024-07-23T14:52:18Z,AXM6128,7150,268,327,2.697418,101.617157
1721746341,2024-07-23T14:52:21Z,AXM6128,7300,267,326,2.700542,101.615105
1721746344,2024-07-23T14:52:24Z,AXM6128,7425,267,326,2.703461,101.613197
1721746359,2024-07-23T14:52:39Z,AXM6128,8125,269,326,2.718976,101.603027
1721746374,2024-07-23T14:52:54Z,AXM6128,8800,270,326,2.734955,101.592529
1721746389,2024-07-23T14:53:09Z,AXM6128,9500,272,326,2.751191,101.581863
1721746404,2024-07-23T14:53:24Z,AXM6128,10075,277,326,2.76741,101.571259
1721746419,2024-07-23T14:53:39Z,AXM6128,10650,282,326,2.78387,101.560509
1721746435,2024-07-23T14:53:55Z,AXM6128,11225,285,326,2.801002,101.549286
1721746450,2024-07-23T14:54:10Z,AXM6128,11700,292,326,2.817627,101.538437
1721746462,2024-07-23T14:54:22Z,AXM6128,12100,297,326,2.831543,101.529358
1721746495,2024-07-23T14:54:55Z,AXM6128,13150,312,326,2.871689,101.503197
1721746526,2024-07-23T14:55:26Z,AXM6128,14300,314,326,2.908768,101.479034
1721746559,2024-07-23T14:55:59Z,AXM6128,15675,314,326,2.949503,101.452538
1721746589,2024-07-23T14:56:29Z,AXM6128,16100,338,326,2.988098,101.427269
1721746623,2024-07-23T14:57:03Z,AXM6128,16850,355,326,3.033297,101.397888
1721746656,2024-07-23T14:57:36Z,AXM6128,17675,368,326,3.080222,101.367348
1721746686,2024-07-23T14:58:06Z,AXM6128,18675,370,326,3.124493,101.338509
1721746720,2024-07-23T14:58:40Z,AXM6128,19675,374,326,3.171982,101.307587
1721746750,2024-07-23T14:59:10Z,AXM6128,20550,378,326,3.216992,101.278175
1721746783,2024-07-23T14:59:43Z,AXM6128,21350,384,326,3.266327,101.245949
1721746817,2024-07-23T15:00:17Z,AXM6128,21925,395,326,3.316614,101.213203
1721746847,2024-07-23T15:00:47Z,AXM6128,22425,402,326,3.363772,101.182472
1721746880,2024-07-23T15:01:20Z,AXM6128,22975,412,326,3.417214,101.147621
1721746913,2024-07-23T15:01:53Z,AXM6128,23500,416,326,3.470398,101.112854
1721746947,2024-07-23T15:02:27Z,AXM6128,23975,418,326,3.524097,101.077866
1721746980,2024-07-23T15:03:00Z,AXM6128,24025,397,326,3.577167,101.043152
1721747013,2024-07-23T15:03:33Z,AXM6128,24000,393,326,3.628006,101.009979
1721747047,2024-07-23T15:04:07Z,AXM6128,24000,394,332,3.680878,100.977951
1721747080,2024-07-23T15:04:40Z,AXM6128,24000,394,336,3.736655,100.952614
1721747114,2024-07-23T15:05:14Z,AXM6128,24000,393,335,3.792297,100.927765
1721747147,2024-07-23T15:05:47Z,AXM6128,24000,392,335,3.847356,100.903175
1721747177,2024-07-23T15:06:17Z,AXM6128,24000,390,335,3.898453,100.88047
1721747211,2024-07-23T15:06:51Z,AXM6128,23775,398,336,3.95462,100.855515
1721747242,2024-07-23T15:07:22Z,AXM6128,23175,402,335,4.006119,100.832611
1721747272,2024-07-23T15:07:52Z,AXM6128,22425,393,335,4.058284,100.809265
1721747305,2024-07-23T15:08:25Z,AXM6128,21425,386,335,4.112238,100.785164
1721747336,2024-07-23T15:08:56Z,AXM6128,20300,382,335,4.163632,100.762291
1721747368,2024-07-23T15:09:28Z,AXM6128,19225,378,336,4.214447,100.739975
1721747399,2024-07-23T15:09:59Z,AXM6128,17850,381,332,4.263748,100.716141
1721747430,2024-07-23T15:10:30Z,AXM6128,16300,387,332,4.313018,100.690742
1721747461,2024-07-23T15:11:01Z,AXM6128,15125,382,332,4.362946,100.665115
1721747495,2024-07-23T15:11:35Z,AXM6128,14275,380,332,4.416138,100.637794
1721747526,2024-07-23T15:12:06Z,AXM6128,13475,382,332,4.465198,100.612556
1721747558,2024-07-23T15:12:38Z,AXM6128,12650,384,332,4.515793,100.586586
1721747589,2024-07-23T15:13:09Z,AXM6128,11875,372,332,4.564499,100.561584
1721747601,2024-07-23T15:13:21Z,AXM6128,11600,364,332,4.583084,100.55204
1721747612,2024-07-23T15:13:32Z,AXM6128,11450,357,332,4.599454,100.54361
1721747629,2024-07-23T15:13:49Z,AXM6128,11200,342,332,4.623103,100.531532
1721747641,2024-07-23T15:14:01Z,AXM6128,10900,336,332,4.640579,100.522575
1721747654,2024-07-23T15:14:14Z,AXM6128,10575,331,332,4.657837,100.51368
1721747669,2024-07-23T15:14:29Z,AXM6128,10175,326,332,4.67926,100.502647
1721747685,2024-07-23T15:14:45Z,AXM6128,9700,324,332,4.699821,100.49218
1721747698,2024-07-23T15:14:58Z,AXM6128,9225,326,332,4.717209,100.483238
1721747710,2024-07-23T15:15:10Z,AXM6128,8750,328,332,4.734037,100.474609
1721747722,2024-07-23T15:15:22Z,AXM6128,8425,325,332,4.750889,100.465942
1721747738,2024-07-23T15:15:38Z,AXM6128,7925,322,332,4.772349,100.45491
1721747754,2024-07-23T15:15:54Z,AXM6128,7450,321,332,4.792786,100.444366
1721747770,2024-07-23T15:16:10Z,AXM6128,7000,319,332,4.813705,100.433662
1721747782,2024-07-23T15:16:22Z,AXM6128,6725,315,332,4.830121,100.425217
